Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Norway,145.2,61.5,105.0,137.1,166.7,89.8
Switzerland,142.5,64.9,105.2,147.8,139.9,137.0
Venezuela,119.1,38.1,80.2,141.2,92.8,12.2
Angola,117.9,137.4,127.3,107.1,112.6,42.3
Denmark,115.1,42.1,80.0,101.8,133.4,91.6
Australia,114.6,61.5,89.1,112.0,101.2,100.5
Iceland,113.6,43.1,79.7,118.9,106.9,64.8
Luxembourg,107.4,69.8,89.3,91.9,120.5,107.2
New Zealand,106.7,43.5,76.3,107.6,92.7,84.2
Ireland,105.6,40.2,74.2,101.2,101.3,89.6
United Kingdom,103.1,45.3,75.3,97.1,101.9,90.0
Finland,102.0,34.6,69.6,97.8,101.6,96.6
France,101.9,37.6,71.0,101.3,99.7,86.9
Belgium,101.1,36.1,69.9,96.1,105.5,82.4
Singapore,101.0,95.9,98.5,90.4,60.7,65.2
Kuwait,99.8,43.1,72.6,133.9,59.0,71.9
Netherlands,98.7,41.8,71.3,78.9,112.4,91.8
Sweden,98.5,33.2,67.1,95.6,97.4,101.9
Bahamas,97.7,47.3,73.5,92.8,86.6,91.4
Japan,96.7,38.4,68.7,101.7,58.2,90.9
Italy,95.8,31.5,64.9,84.7,102.5,72.5
Israel,91.6,36.3,65.0,81.2,94.4,76.7
South Korea,91.4,38.6,66.0,110.9,52.9,78.1
Canada,89.6,37.0,64.3,97.3,78.6,101.9
Austria,87.7,33.9,61.8,85.7,77.1,89.1
Germany,86.8,31.6,60.3,77.4,76.0,105.8
Cyprus,85.1,19.8,53.7,79.4,83.1,65.0
Greece,80.8,14.4,48.9,68.8,79.2,44.6
Malta,80.2,20.9,51.7,67.9,83.6,72.1
United States,77.0,37.8,58.2,83.7,66.1,125.6
Hong Kong,75.9,86.0,80.7,80.6,54.8,68.0
Spain,75.7,26.3,51.9,63.6,77.3,71.2
Slovenia,75.0,21.7,49.4,65.3,59.7,57.8
Puerto Rico,73.7,21.1,48.4,78.3,62.1,81.5
Uruguay,72.6,23.9,49.2,65.4,67.1,39.1
Qatar,72.4,76.9,74.5,66.9,76.2,118.9
Ghana,71.2,57.5,64.6,76.7,60.3,13.5
