Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Belize,69.4,13.0,42.3,64.8,40.4,92.8
Lebanon,69.0,35.8,53.0,52.9,65.6,40.1
Croatia,68.7,14.5,42.6,62.5,51.7,46.0
Nigeria,68.5,24.2,47.2,64.5,54.9,37.8
United Arab Emirates,67.8,65.8,66.8,61.7,61.8,102.0
Portugal,67.8,21.9,45.7,56.4,56.4,51.8
Zimbabwe,67.7,20.4,45.0,62.4,52.5,30.9
Estonia,67.6,19.4,44.5,57.6,53.5,47.8
Brazil,66.2,23.3,45.6,54.1,51.8,38.4
Jamaica,64.9,18.5,42.6,62.9,44.8,50.3
Argentina,64.9,17.8,42.2,61.9,61.8,55.3
Mozambique,64.5,37.5,51.5,57.4,62.1,36.3
Latvia,64.1,15.8,40.9,53.7,51.8,39.5
Namibia,63.7,26.3,45.7,58.5,53.8,40.3
Azerbaijan,63.1,34.4,49.3,55.3,65.1,24.5
Costa Rica,62.0,19.3,41.5,64.7,50.8,46.5
Jordan,61.8,15.9,39.7,54.0,54.4,35.8
Russia,61.7,30.6,46.8,51.1,67.4,36.1
Saudi Arabia,61.4,16.0,39.6,68.5,33.8,98.9
Slovakia,61.0,21.7,42.1,56.3,43.7,50.4
Lithuania,59.7,15.2,38.3,52.1,40.8,42.2
Palestine,59.5,8.3,34.9,55.4,35.8,43.9
Taiwan,59.4,19.3,40.1,71.6,29.1,65.7
Bahrain,58.8,39.4,49.5,56.2,56.0,59.6
Chile,57.9,18.5,39.0,52.9,47.4,51.1
Mauritius,57.9,24.2,41.7,53.7,49.5,63.4
Uzbekistan,57.7,14.7,37.0,53.7,47.7,24.4
Hungary,56.9,10.8,34.8,46.9,41.6,41.9
Dominican Republic,56.7,12.9,35.6,57.0,41.6,29.1
Czech Republic,56.5,19.1,38.5,52.1,36.7,62.0
Trinidad And Tobago,56.1,20.7,39.1,55.1,48.3,41.0
Oman,55.1,30.6,43.3,50.2,39.4,99.9
Kazakhstan,55.0,21.0,38.6,46.0,57.0,36.6
Montenegro,54.9,11.1,33.9,47.9,45.7,38.3
Cambodia,54.2,14.1,34.9,66.8,24.4,12.3
Kenya,53.8,20.1,37.6,56.8,35.2,27.3
Turkey,53.6,13.4,34.3,43.7,39.8,49.6
Poland,53.4,18.9,36.8,44.6,43.5,56.4
Ethiopia,53.2,20.6,37.6,54.8,26.9,14.7
Tanzania,52.8,25.7,39.8,56.0,28.8,35.3
Uganda,52.7,10.1,32.3,49.1,25.0,23.8
Honduras,52.7,12.1,33.2,48.3,32.6,38.7
China,52.6,24.5,39.1,55.8,37.5,40.2
Iraq,51.9,19.1,36.1,44.5,45.0,37.3
Libya,51.9,18.8,36.0,60.7,41.2,40.9
El Salvador,51.8,10.7,32.0,46.8,34.5,26.9
Peru,51.6,16.6,34.8,46.8,35.6,29.8
Panama,51.6,33.3,42.8,58.2,38.7,38.2
Guatemala,51.5,16.2,34.6,52.8,31.5,35.1
Myanmar,51.3,30.2,41.1,62.2,22.2,15.6
Serbia,50.7,10.8,31.6,42.2,41.3,36.6
Belarus,50.3,17.2,34.4,46.5,55.5,32.7
Colombia,50.1,16.1,33.8,47.7,36.5,32.6
Malaysia,50.0,15.7,33.5,49.7,26.8,67.5
Bulgaria,49.7,11.0,31.1,45.1,37.0,36.2
South Africa,49.5,18.6,34.7,44.4,44.1,94.8
Romania,49.2,12.4,31.5,45.0,37.7,35.5
Bosnia And Herzegovina,49.0,8.8,29.7,44.3,32.2,41.7
Mexico,47.8,13.0,31.1,50.3,35.4,52.6
Iran,47.7,19.1,34.0,51.8,39.0,27.4
Albania,47.4,10.7,29.7,39.8,36.0,32.7
Armenia,46.1,14.1,30.7,37.2,39.9,23.8
Thailand,45.9,18.4,32.7,52.4,24.7,33.3
Ecuador,45.6,13.2,30.0,47.7,27.7,25.8
Morocco,45.4,12.7,29.7,40.5,35.7,30.5
Ukraine,44.3,14.7,30.1,39.3,39.4,27.1
Vietnam,44.2,16.0,30.6,41.0,22.3,22.6
Georgia,43.0,12.9,28.5,35.7,39.5,24.0
Sri Lanka,42.8,11.6,27.8,52.8,24.0,25.7
North Macedonia,42.6,8.4,26.2,36.9,31.2,34.0
Bolivia,42.3,11.9,27.7,37.6,25.0,33.0
Philippines,41.8,8.9,26.0,43.7,23.5,31.0
Syria,41.4,11.5,27.0,38.0,34.6,20.3
Indonesia,40.4,13.2,27.3,46.0,21.6,23.1
Bangladesh,40.3,6.7,24.2,41.7,26.0,31.7
Tunisia,39.0,9.7,24.9,37.1,25.2,34.5
Algeria,38.4,8.7,24.1,39.2,27.7,35.9
Moldova,38.2,9.3,24.3,33.8,28.0,22.3
Egypt,36.2,9.0,23.1,35.1,30.9,24.7
Pakistan,31.5,5.0,18.7,31.7,22.9,30.5
Nepal,31.2,3.7,18.0,31.2,19.8,19.5
India,27.7,7.5,18.0,30.5,16.2,59.3
