Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Cayman Islands,141.6,74.4,109.5,157.9,105.0,137.9
Bermuda,138.2,87.6,114.0,124.9,150.4,79.9
Switzerland,122.7,50.2,88.0,121.3,124.0,127.8
Norway,104.5,37.3,72.3,93.9,115.6,98.0
Us Virgin Islands,97.2,48.2,73.8,87.4,90.7,54.6
Iceland,97.2,45.1,72.3,84.6,111.5,92.0
Bahamas,86.0,35.4,61.8,68.8,87.2,56.2
Japan,85.5,28.1,58.1,84.7,50.1,97.6
Luxembourg,84.7,55.4,70.7,71.6,92.9,107.9
Denmark,83.9,33.7,59.9,64.0,100.6,110.7
Barbados,80.3,20.0,51.5,72.8,72.6,57.0
Singapore,80.2,62.0,71.5,68.3,55.4,88.8
Israel,79.5,31.5,56.6,64.9,88.7,86.0
Hong Kong,79.2,79.7,79.5,79.4,55.6,66.8
Ireland,76.3,43.9,60.8,58.8,84.1,90.8
Netherlands,75.2,35.3,56.1,58.1,82.9,98.0
South Korea,75.2,20.9,49.2,87.2,43.3,99.1
France,74.6,26.1,51.4,67.4,75.1,87.7
Australia,73.4,35.3,55.2,67.4,72.2,118.1
Belgium,73.1,26.0,50.6,60.5,82.5,93.2
New Zealand,73.0,31.4,53.1,65.1,69.9,97.6
Seychelles,72.8,32.8,53.6,65.5,87.4,21.5
Finland,72.2,26.3,50.2,58.2,79.4,108.8
Austria,72.1,27.8,51.0,64.8,71.8,89.9
United States,70.9,40.5,56.4,67.1,70.8,119.1
Sweden,70.1,25.6,48.9,61.2,72.1,112.7
Italy,69.0,21.6,46.3,57.4,74.7,73.4
Canada,68.2,30.3,50.0,65.0,63.3,105.0
Puerto Rico,66.8,18.5,43.7,65.8,54.6,93.0
Germany,66.6,27.0,47.7,51.2,63.4,112.0
Malta,65.4,30.1,48.6,51.1,73.5,55.3
United Kingdom,65.3,28.7,47.8,50.4,72.5,100.5
United Arab Emirates,63.6,45.0,54.7,50.7,62.2,100.5
Qatar,62.2,51.2,56.9,52.6,63.9,119.3
Libya,61.3,15.1,39.2,72.8,38.1,56.0
Lebanon,59.7,26.2,43.7,44.1,58.1,50.7
Taiwan,58.8,15.5,38.1,67.9,26.9,74.2
Cyprus,58.4,20.7,40.4,45.0,63.1,67.3
Bahrain,58.4,31.2,45.4,49.5,52.5,63.8
Greece,56.7,11.5,35.1,42.8,55.4,48.5
Jamaica,56.4,14.8,36.5,55.8,39.9,35.4
Ethiopia,55.5,26.3,41.6,35.8,20.3,9.5
Jordan,55.4,11.9,34.6,43.5,49.7,37.3
Costa Rica,55.1,16.2,36.5,49.7,45.7,46.0
Uruguay,54.9,15.5,36.0,43.1,53.6,39.8
Spain,54.7,21.5,38.9,43.2,53.7,79.8
Zimbabwe,54.7,11.5,34.1,49.9,39.6,28.7
