Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Norway,139.5,56.9,109.8,142.9,136.6,93.9
Switzerland,131.0,62.1,106.2,131.5,115.1,137.1
Denmark,119.7,53.9,96.1,99.0,140.3,93.3
Belgium,109.4,37.4,83.6,87.9,117.3,100.1
Australia,107.8,51.0,87.4,112.0,88.7,117.1
Ireland,107.1,52.8,87.6,110.9,100.1,92.2
Netherlands,105.7,43.3,83.3,64.0,106.4,100.3
France,101.2,42.7,80.2,83.4,96.6,80.8
Sweden,100.7,30.0,75.3,86.0,100.3,99.9
Finland,98.7,39.8,77.5,89.7,88.1,109.8
Japan,96.5,52.0,80.5,88.9,70.8,106.7
Italy,95.8,38.3,75.2,78.7,95.4,66.0
Austria,95.2,40.5,75.6,85.1,75.9,99.0
United Kingdom,93.8,43.7,75.8,87.9,92.8,98.0
Iceland,93.3,36.7,73.0,111.7,90.0,93.2
New Zealand,92.6,29.4,69.9,97.0,81.1,80.4
Cyprus,91.0,31.0,69.4,75.8,88.8,91.8
Greece,89.8,21.1,65.1,72.2,80.7,48.8
Canada,89.3,41.5,72.2,95.1,69.8,109.3
Singapore,88.8,84.9,87.4,88.2,52.7,82.5
Germany,87.2,32.6,67.6,75.3,70.1,118.5
Israel,82.9,33.5,65.2,73.0,73.4,84.3
Saudi Arabia,81.0,22.2,59.9,125.6,29.5,77.9
United Arab Emirates,80.1,74.6,78.1,59.3,97.1,109.3
Malta,78.2,24.0,58.7,68.2,66.0,92.3
Puerto Rico,77.1,29.2,59.9,70.0,61.5,93.9
Brazil,76.8,26.5,58.7,50.1,48.4,58.3
Morocco,76.4,25.8,58.3,69.2,41.4,26.9
United States,76.2,40.2,63.3,71.0,60.2,120.4
Spain,76.1,33.5,60.8,57.5,68.6,67.7
Portugal,73.1,30.6,57.8,51.6,51.4,53.6
Slovenia,72.6,33.0,58.4,62.1,57.8,64.2
Hong Kong,72.2,81.2,75.4,70.1,51.4,65.2
Latvia,70.9,19.9,52.6,49.8,76.5,36.2
Uruguay,70.3,20.1,52.3,62.0,52.4,44.5
Costa Rica,69.8,22.3,52.7,75.7,58.2,44.9
South Africa,69.2,27.3,54.1,59.3,50.0,86.4
Croatia,68.3,18.1,50.3,65.1,48.2,51.8
Lebanon,68.3,42.2,58.9,36.4,58.2,22.9
Azerbaijan,67.3,59.5,64.5,47.0,57.8,33.0
Dominican Republic,67.1,22.8,51.2,64.9,49.1,46.1
Russia,64.0,40.0,55.4,46.9,65.9,33.8
Venezuela,63.9,32.4,52.6,52.4,57.6,34.8
Jordan,62.0,19.9,46.9,59.2,41.4,34.8
Turkey,61.9,17.1,45.8,47.5,42.5,55.9
Lithuania,61.8,19.7,46.7,56.1,41.2,31.5
Hungary,61.5,16.5,45.3,52.4,43.0,38.0
Chile,61.2,16.8,45.2,46.9,47.4,61.2
Czech Republic,60.8,30.5,49.9,47.1,37.9,57.3
Slovakia,60.0,22.0,46.4,53.7,43.3,59.3
South Korea,60.0,31.1,49.6,66.8,50.2,118.7
Montenegro,59.5,22.9,46.4,44.8,48.9,27.6
Estonia,59.2,16.6,43.9,44.3,58.6,68.9
Armenia,58.7,25.9,46.9,27.6,47.4,17.4
Argentina,56.6,18.6,43.0,49.6,44.6,51.8
Taiwan,55.7,22.0,43.6,56.7,32.9,92.0
Bosnia And Herzegovina,55.4,8.2,38.5,49.8,34.9,38.6
Colombia,54.3,13.7,39.7,44.9,32.5,39.8
Bulgaria,52.1,14.3,38.5,40.1,36.8,35.0
Mexico,51.5,17.3,39.2,46.0,38.9,65.0
Egypt,51.3,22.4,40.9,48.4,37.7,17.7
Poland,51.2,19.5,39.8,39.7,38.7,62.8
Serbia,51.0,15.5,38.3,38.7,40.2,31.9
Syria,49.7,13.0,36.5,41.2,33.2,22.2
Ecuador,49.5,14.5,36.9,56.7,27.3,40.3
Indonesia,49.3,19.1,38.5,55.8,26.8,16.6
Belarus,47.9,15.9,36.4,35.8,60.1,26.0
Romania,47.7,13.6,35.5,40.1,35.2,33.4
Peru,46.9,17.5,36.3,50.0,32.7,42.8
Iran,46.1,29.6,40.2,49.6,32.5,54.8
Ukraine,45.1,17.4,35.2,29.9,41.2,29.5
Panama,45.0,19.0,35.7,38.6,32.2,70.1
Malaysia,44.8,11.5,32.9,40.5,23.5,86.5
Mongolia,44.4,18.5,35.1,56.0,27.6,34.6
China,43.4,20.3,35.1,46.8,25.4,27.4
Kenya,43.2,19.8,34.8,39.5,29.7,34.9
North Macedonia,41.8,10.1,30.4,35.0,28.8,38.3
Thailand,41.8,21.7,34.6,46.2,24.8,23.5
Philippines,39.1,9.7,28.5,33.9,19.2,37.9
Vietnam,39.1,32.3,36.6,36.1,24.0,51.1
Bolivia,37.4,15.2,29.4,28.3,23.4,50.5
Pakistan,31.0,7.8,22.6,28.1,20.2,30.3
India,30.3,9.0,22.6,28.9,18.3,62.8
