Rank,Crime Index,Safety Index
Afghanistan,82.5,17.5
Venezuela,81.5,18.5
Guatemala,79.3,20.7
Kenya,78.9,21.1
Trinidad And Tobago,78.7,21.3
South Africa,78.5,21.5
Nigeria,77.9,22.1
Haiti,72.5,27.5
Jamaica,71.0,29.0
Bolivia,69.0,31.0
Honduras,68.9,31.1
Brazil,67.0,33.0
Malaysia,66.4,33.6
Dominican Republic,66.4,33.6
Mongolia,66.2,33.8
El Salvador,64.3,35.7
Uzbekistan,64.3,35.7
Pakistan,63.8,36.2
Angola,63.0,37.0
Uganda,62.2,37.8
Bangladesh,62.2,37.8
Libya,61.4,38.6
Costa Rica,61.4,38.6
Zimbabwe,60.8,39.2
Ecuador,60.0,40.0
Puerto Rico,59.3,40.7
Colombia,58.5,41.5
Peru,58.1,41.9
Kyrgyzstan,57.9,42.1
Argentina,57.5,42.5
Tanzania,57.1,42.9
Syria,57.1,42.9
Mauritius,55.7,44.3
Iran,55.0,45.0
Paraguay,53.8,46.2
Ireland,53.6,46.4
Vietnam,53.3,46.7
Russia,52.7,47.3
Mexico,52.5,47.5
Egypt,52.4,47.6
Algeria,52.3,47.7
Nepal,51.8,48.2
Albania,51.3,48.7
United States,50.1,49.9
Lebanon,50.1,49.9
Kazakhstan,49.4,50.6
Ukraine,49.4,50.6
Morocco,48.4,51.6
Jordan,47.6,52.4
France,47.3,52.7
Chile,47.1,52.9
Nicaragua,47.0,53.0
Botswana,47.0,53.0
Tunisia,47.0,53.0
Indonesia,46.7,53.3
Uruguay,46.6,53.4
Iraq,46.6,53.4
Ghana,46.4,53.6
Moldova,46.3,53.7
Italy,45.6,54.4
Namibia,45.5,54.5
Bosnia And Herzegovina,45.0,55.0
Barbados,44.4,55.6
Latvia,43.7,56.3
India,43.7,56.3
Greece,43.0,57.0
New Zealand,42.9,57.1
United Kingdom,42.6,57.4
Laos,42.5,57.5
Sri Lanka,42.4,57.6
Philippines,41.9,58.1
North Macedonia,41.7,58.3
Panama,41.6,58.4
Belgium,41.5,58.5
Australia,41.2,58.8
Cambodia,40.8,59.2
Bulgaria,40.0,60.0
Turkey,40.0,60.0
Serbia,39.3,60.7
Eritrea,39.1,60.9
Fiji,39.0,61.0
Sweden,38.3,61.7
Thailand,37.6,62.4
Cyprus,37.6,62.4
Poland,37.5,62.5
Hungary,37.5,62.5
Netherlands,37.1,62.9
Kuwait,36.4,63.6
Canada,36.3,63.7
Ethiopia,36.1,63.9
Portugal,35.1,64.9
Armenia,35.0,65.0
Sudan,34.8,65.2
Lithuania,34.7,65.3
Azerbaijan,34.2,65.8
Czech Republic,33.9,66.1
Norway,33.7,66.3
Israel,33.3,66.7
Slovenia,33.2,66.8
Belarus,32.9,67.1
Slovakia,32.7,67.3
Spain,32.4,67.6
Luxembourg,31.9,68.1
Switzerland,31.8,68.2
Iceland,31.7,68.3
Brunei,31.5,68.5
China,30.1,69.9
Saudi Arabia,29.4,70.6
Denmark,29.3,70.7
Finland,29.2,70.8
Oman,29.1,70.9
Estonia,29.1,70.9
Monaco,29.0,71.0
Croatia,28.9,71.1
Romania,28.7,71.3
Germany,27.1,72.9
Austria,25.8,74.2
Hong Kong,22.7,77.3
Qatar,21.8,78.2
Taiwan,21.5,78.5
Singapore,21.3,78.7
United Arab Emirates,20.8,79.2
Bahrain,20.5,79.5
Georgia,19.9,80.1
Japan,18.1,81.9
Isle Of Man,17.0,83.0
South Korea,16.3,83.7
Malta,14.2,85.8
