Rank,Crime Index,Safety Index
Venezuela,82.4,17.6
Papua New Guinea,81.9,18.1
Honduras,77.6,22.4
South Africa,75.4,24.6
Trinidad And Tobago,71.2,28.8
Syria,70.6,29.4
Brazil,70.4,29.6
El Salvador,70.3,29.7
Nigeria,67.8,32.2
Namibia,67.1,32.9
Bangladesh,66.6,33.4
Jamaica,66.3,33.7
Mongolia,66.2,33.8
Puerto Rico,65.4,34.6
Peru,64.5,35.5
Kenya,64.4,35.6
Malaysia,63.6,36.4
Argentina,63.5,36.5
Dominican Republic,62.7,37.3
Tanzania,60.5,39.5
Libya,55.8,44.2
Zimbabwe,55.1,44.9
Costa Rica,54.8,45.2
Egypt,53.3,46.7
Pakistan,53.3,46.7
Cambodia,52.6,47.4
Vietnam,52.5,47.5
Uruguay,51.7,48.3
Mauritius,51.5,48.5
Colombia,51.3,48.7
Maldives,50.8,49.2
Mexico,50.6,49.4
Ukraine,50.4,49.6
Kazakhstan,50.2,49.8
Panama,50.1,49.9
Ecuador,49.9,50.1
Iran,49.8,50.2
Algeria,49.6,50.4
Sweden,49.3,50.7
Lebanon,49.1,50.9
Thailand,48.9,51.1
Ethiopia,48.9,51.1
Morocco,48.7,51.3
United States,48.5,51.5
Iraq,48.3,51.7
Russia,45.7,54.3
Norway,45.0,55.0
France,44.8,55.2
Ireland,44.8,55.2
Chile,44.6,55.4
Italy,44.6,55.4
India,44.5,55.5
Moldova,44.4,55.6
Indonesia,43.8,56.2
Jordan,43.2,56.8
Belgium,42.3,57.7
Albania,42.1,57.9
Australia,42.0,58.0
Turkey,41.0,59.0
United Kingdom,41.0,59.0
Bosnia And Herzegovina,40.2,59.8
Philippines,40.0,60.0
Bulgaria,40.0,60.0
Tunisia,39.7,60.3
Greece,39.4,60.6
New Zealand,39.2,60.8
Canada,39.1,60.9
Lithuania,39.1,60.9
Serbia,38.8,61.2
North Macedonia,38.7,61.3
Hungary,38.2,61.8
Latvia,37.5,62.5
Nepal,36.0,64.0
Portugal,34.9,65.1
Sri Lanka,34.6,65.4
Kuwait,34.5,65.5
Bahrain,33.1,66.9
Germany,32.6,67.4
China,32.5,67.5
Cyprus,31.5,68.5
Slovakia,30.5,69.5
Malta,30.4,69.6
Poland,30.2,69.8
Spain,30.0,70.0
Israel,29.5,70.5
South Korea,29.4,70.6
Czech Republic,29.2,70.8
Netherlands,28.9,71.1
Romania,28.5,71.5
Oman,28.4,71.6
Luxembourg,28.2,71.8
Croatia,28.1,71.9
Armenia,28.1,71.9
Saudi Arabia,27.1,72.9
Azerbaijan,27.1,72.9
Iceland,26.3,73.7
Slovenia,24.7,75.3
Belarus,24.6,75.4
Finland,23.2,76.8
Estonia,22.4,77.6
Switzerland,21.6,78.4
Denmark,21.5,78.5
Georgia,20.9,79.1
Hong Kong,20.1,79.9
Japan,19.5,80.5
United Arab Emirates,19.3,80.7
Austria,19.1,80.9
Taiwan,18.3,81.7
Qatar,17.1,82.9
Singapore,16.9,83.1
