Rank,Crime Index,Safety Index
Venezuela,82.6,17.4
Papua New Guinea,80.0,20.0
Honduras,78.9,21.1
South Africa,75.7,24.3
Trinidad And Tobago,72.2,27.8
Brazil,70.6,29.4
El Salvador,69.7,30.3
Bangladesh,68.5,31.5
Namibia,68.2,31.8
Syria,67.7,32.3
Jamaica,66.9,33.1
Puerto Rico,64.9,35.1
Peru,63.9,36.1
Nigeria,63.1,36.9
Malaysia,63.1,36.9
Mongolia,62.6,37.4
Argentina,61.8,38.2
Dominican Republic,61.5,38.5
Tanzania,59.8,40.2
Kenya,59.8,40.2
Guatemala,59.3,40.7
Libya,56.7,43.3
Zimbabwe,54.6,45.4
Cambodia,54.4,45.6
Costa Rica,53.9,46.1
Egypt,53.7,46.3
Bolivia,52.9,47.1
Vietnam,52.2,47.8
Uruguay,51.8,48.2
Maldives,51.7,48.3
Pakistan,51.2,48.8
Mexico,51.1,48.9
Algeria,50.7,49.3
Colombia,50.7,49.3
United States,49.6,50.4
Iran,49.4,50.6
Ukraine,49.4,50.6
Sweden,49.3,50.7
Ecuador,49.2,50.8
Lebanon,49.2,50.8
Kazakhstan,49.2,50.8
Morocco,48.5,51.5
Panama,48.4,51.6
Mauritius,48.3,51.7
Ethiopia,47.7,52.3
Thailand,47.3,52.7
Chile,46.5,53.5
Moldova,45.7,54.3
France,45.3,54.7
Russia,45.2,54.8
Ghana,45.0,55.0
Indonesia,44.7,55.3
Jordan,44.5,55.5
Italy,44.5,55.5
India,44.2,55.8
Ireland,43.8,56.2
Iraq,43.3,56.7
Norway,43.3,56.7
Australia,42.5,57.5
Belgium,42.2,57.8
Sri Lanka,41.7,58.3
United Kingdom,41.2,58.8
Turkey,41.1,58.9
Tunisia,40.4,59.6
North Macedonia,40.2,59.8
Philippines,40.1,59.9
Bosnia And Herzegovina,40.1,59.9
Albania,39.9,60.1
Bulgaria,39.7,60.3
Nepal,39.5,60.5
China,39.4,60.6
Canada,39.3,60.7
New Zealand,39.2,60.8
Greece,39.1,60.9
Palestine,37.9,62.1
Serbia,37.8,62.2
Lithuania,37.6,62.4
Montenegro,37.5,62.5
Kuwait,37.0,63.0
Bahrain,37.0,63.0
Israel,36.9,63.1
Latvia,36.9,63.1
Spain,36.7,63.3
Saudi Arabia,36.7,63.3
Germany,36.7,63.3
Hungary,36.5,63.5
Poland,36.2,63.8
South Korea,35.8,64.2
Portugal,34.5,65.5
Luxembourg,32.1,67.9
Malta,31.9,68.1
Azerbaijan,30.5,69.5
Cyprus,30.2,69.8
Slovakia,30.2,69.8
Romania,29.0,71.0
Netherlands,28.9,71.1
Czech Republic,28.8,71.2
Armenia,28.3,71.7
Oman,27.4,72.6
Croatia,27.0,73.0
Belarus,26.6,73.4
Slovenia,24.7,75.3
Iceland,24.5,75.5
Finland,23.7,76.3
Denmark,22.0,78.0
Switzerland,21.8,78.2
Hong Kong,20.9,79.1
Estonia,20.8,79.2
Taiwan,20.7,79.3
Austria,20.4,79.6
Georgia,20.3,79.7
United Arab Emirates,18.7,81.3
Singapore,16.2,83.8
Qatar,15.7,84.3
Japan,13.1,86.9
