Rank,Crime Index,Safety Index
Venezuela,83.2,16.8
Papua New Guinea,79.9,20.1
Honduras,76.8,23.2
South Africa,76.8,23.2
Afghanistan,76.6,23.4
Trinidad And Tobago,74.0,26.0
Brazil,70.2,29.8
Namibia,68.7,31.3
El Salvador,68.1,31.9
Kazakhstan,66.5,33.5
Bangladesh,65.8,34.2
Puerto Rico,65.5,34.5
Peru,65.3,34.7
Jamaica,65.3,34.7
Nigeria,64.4,35.6
Syria,63.6,36.4
Argentina,62.6,37.4
Dominican Republic,61.4,38.6
Malaysia,60.8,39.2
Somalia,60.1,39.9
Mongolia,59.8,40.2
Libya,59.2,40.8
Tanzania,59.0,41.0
Costa Rica,56.1,43.9
Guatemala,55.9,44.1
Kenya,54.8,45.2
Maldives,53.3,46.7
Bolivia,53.3,46.7
Uganda,53.3,46.7
Mexico,52.3,47.7
Uruguay,52.0,48.0
Ghana,51.9,48.1
Zimbabwe,51.8,48.2
Cambodia,51.3,48.7
Colombia,51.3,48.7
Egypt,50.7,49.3
Morocco,50.2,49.8
Sweden,49.3,50.7
Iran,49.3,50.7
Ecuador,49.0,51.0
Ukraine,48.9,51.1
Vietnam,48.8,51.2
Algeria,48.3,51.7
Ethiopia,47.2,52.8
United States,47.1,52.9
Chile,46.8,53.2
Mauritius,46.8,53.2
Pakistan,46.7,53.3
Thailand,46.7,53.3
Panama,46.4,53.6
France,46.4,53.6
Indonesia,46.0,54.0
Iraq,45.6,54.4
China,45.5,54.5
Moldova,45.4,54.6
Italy,45.0,55.0
Ireland,44.5,55.5
Lebanon,44.3,55.7
Jordan,43.8,56.2
Bosnia And Herzegovina,43.8,56.2
Australia,42.8,57.2
United Kingdom,42.7,57.3
India,42.7,57.3
Belgium,42.5,57.5
Tunisia,42.3,57.7
Russia,41.9,58.1
Sri Lanka,41.0,59.0
Philippines,40.8,59.2
Montenegro,40.5,59.5
Turkey,40.4,59.6
Albania,40.3,59.7
Bulgaria,40.0,60.0
New Zealand,39.6,60.4
Canada,39.5,60.5
North Macedonia,39.3,60.7
Greece,38.6,61.4
Serbia,37.3,62.7
Palestine,37.0,63.0
Latvia,36.8,63.2
Lithuania,36.5,63.5
Nepal,36.4,63.6
Norway,35.3,64.7
Hungary,35.2,64.8
Germany,34.5,65.5
South Korea,34.0,66.0
Kuwait,33.9,66.1
Malta,33.5,66.5
Bahrain,32.9,67.1
Spain,32.5,67.5
Israel,32.2,67.8
Portugal,32.1,67.9
Azerbaijan,31.7,68.3
Poland,30.1,69.9
Saudi Arabia,29.7,70.3
Slovakia,29.5,70.5
Cyprus,29.3,70.7
Luxembourg,29.1,70.9
Netherlands,28.6,71.4
Romania,27.8,72.2
Czech Republic,26.7,73.3
Croatia,24.7,75.3
Denmark,24.2,75.8
Belarus,23.5,76.5
Iceland,23.3,76.7
Oman,22.8,77.2
Finland,22.8,77.2
Slovenia,22.6,77.4
Armenia,22.0,78.0
Switzerland,21.5,78.5
Singapore,21.5,78.5
Austria,21.4,78.6
Estonia,20.8,79.2
Georgia,19.9,80.1
Hong Kong,19.3,80.7
Taiwan,17.4,82.6
United Arab Emirates,16.3,83.7
Japan,13.7,86.3
Qatar,13.3,86.7
