Rank,Crime Index,Safety Index
Venezuela,84.4,15.6
Papua New Guinea,80.0,20.0
South Africa,77.3,22.7
Afghanistan,77.0,23.0
Honduras,76.7,23.3
Trinidad And Tobago,72.4,27.6
Brazil,68.3,31.7
Guyana,68.2,31.8
El Salvador,67.8,32.2
Syria,67.4,32.6
Jamaica,67.2,32.8
Namibia,66.1,33.9
Angola,65.7,34.3
Peru,65.7,34.3
Puerto Rico,64.7,35.3
Bangladesh,63.8,36.2
Nigeria,63.3,36.7
Bahamas,62.7,37.3
Libya,62.3,37.7
Argentina,62.3,37.7
Kenya,61.7,38.3
Dominican Republic,61.0,39.0
Fiji,59.6,40.4
Zimbabwe,58.9,41.1
Guatemala,58.6,41.4
Malaysia,58.6,41.4
Tanzania,57.8,42.2
Mongolia,57.5,42.5
Uganda,56.1,43.9
Bolivia,56.1,43.9
Somalia,56.0,44.0
Costa Rica,55.6,44.4
Colombia,54.9,45.1
Kazakhstan,54.8,45.2
Maldives,54.6,45.4
Botswana,53.5,46.5
Mexico,53.3,46.7
Uruguay,53.0,47.0
Ecuador,52.7,47.3
Cambodia,52.2,47.8
Algeria,50.4,49.6
Paraguay,49.6,50.4
Chile,49.6,50.4
Ethiopia,49.2,50.8
Morocco,49.0,51.0
Iran,48.9,51.1
Ukraine,48.8,51.2
Ghana,48.6,51.4
Iraq,48.0,52.0
United States,47.7,52.3
Sweden,47.4,52.6
France,47.4,52.6
Myanmar,46.9,53.1
Egypt,46.6,53.4
Vietnam,46.5,53.5
Mauritius,46.4,53.6
Panama,46.2,53.8
Indonesia,46.1,53.9
Moldova,46.0,54.0
Ireland,45.7,54.3
Nicaragua,45.5,54.5
Belgium,45.3,54.7
Palestine,45.2,54.8
United Kingdom,44.5,55.5
India,44.4,55.6
Italy,44.2,55.8
Pakistan,44.2,55.8
Lebanon,44.1,55.9
Bosnia And Herzegovina,43.6,56.4
Zambia,43.2,56.8
Philippines,42.2,57.8
New Zealand,42.2,57.8
Tunisia,41.7,58.3
Australia,41.7,58.3
Montenegro,41.6,58.4
Greece,41.3,58.7
Jordan,40.8,59.2
Canada,40.6,59.4
Russia,40.6,59.4
Sri Lanka,40.2,59.8
Thailand,40.0,60.0
Albania,39.9,60.1
Turkey,39.5,60.5
Malta,39.4,60.6
North Macedonia,38.6,61.4
Bulgaria,38.6,61.4
Serbia,37.7,62.3
Latvia,37.4,62.6
Nepal,35.6,64.4
Hungary,35.2,64.8
Germany,35.1,64.9
Norway,34.6,65.4
Kuwait,34.6,65.4
Lithuania,33.9,66.1
Poland,33.1,66.9
Luxembourg,32.8,67.2
Spain,32.3,67.7
Azerbaijan,32.1,67.9
Cyprus,31.6,68.4
Singapore,31.5,68.5
China,31.2,68.8
Israel,30.4,69.6
Kosovo (Disputed Territory),30.3,69.7
Portugal,29.8,70.2
Slovakia,29.8,70.2
Cuba,29.0,71.0
Brunei,28.8,71.2
Uzbekistan,28.6,71.4
Romania,27.8,72.2
South Korea,27.3,72.7
Netherlands,27.1,72.9
Bahrain,26.9,73.1
Saudi Arabia,26.7,73.3
Denmark,26.1,73.9
Finland,25.5,74.5
Czech Republic,25.4,74.6
Belarus,25.0,75.0
Croatia,24.7,75.3
Austria,24.4,75.6
Iceland,23.7,76.3
Estonia,23.6,76.4
Armenia,22.7,77.3
Rwanda,22.0,78.0
Japan,21.7,78.3
Switzerland,21.6,78.4
Isle Of Man,21.3,78.7
Slovenia,20.9,79.1
Hong Kong,20.9,79.1
Oman,20.6,79.4
Georgia,20.5,79.5
United Arab Emirates,15.4,84.6
Taiwan,15.3,84.7
Qatar,11.9,88.1
