Rank,Crime Index,Safety Index
Venezuela,85.3,14.7
Papua New Guinea,82.4,17.6
Honduras,78.3,21.7
South Sudan,78.2,21.8
South Africa,75.7,24.3
Afghanistan,73.9,26.1
El Salvador,71.6,28.4
Nigeria,70.9,29.1
Brazil,70.6,29.4
Trinidad And Tobago,70.2,29.8
Puerto Rico,69.2,30.8
Mongolia,67.6,32.4
Jamaica,67.5,32.5
Bangladesh,67.2,32.8
Syria,66.3,33.7
Angola,65.5,34.5
Kenya,65.0,35.0
Malaysia,64.8,35.2
Peru,63.3,36.7
Bahamas,63.2,36.8
Namibia,63.1,36.9
Argentina,62.6,37.4
Dominican Republic,62.6,37.4
Tanzania,61.4,38.6
Guatemala,59.6,40.4
Bolivia,59.5,40.5
Somalia,58.8,41.2
Botswana,58.2,41.8
Uganda,56.9,43.1
Costa Rica,55.9,44.1
Fiji,55.6,44.4
Cambodia,54.6,45.4
Libya,54.5,45.5
Pakistan,54.4,45.6
Iraq,54.3,45.7
Zimbabwe,53.5,46.5
Vietnam,53.0,47.0
Egypt,52.9,47.1
Colombia,51.7,48.3
Uruguay,51.6,48.4
Ukraine,51.3,48.7
Mauritius,51.1,48.9
Iran,50.9,49.1
Ecuador,50.9,49.1
Mexico,50.3,49.7
Panama,50.0,50.0
Thailand,49.8,50.2
Indonesia,49.7,50.3
Algeria,49.6,50.4
Ethiopia,49.2,50.8
Lebanon,49.2,50.8
Morocco,48.9,51.1
United States,48.8,51.2
Kazakhstan,48.3,51.7
Chile,47.5,52.5
Ghana,47.0,53.0
Maldives,47.0,53.0
Sweden,46.6,53.4
Russia,46.1,53.9
Ireland,45.8,54.2
Norway,45.7,54.3
Moldova,45.4,54.6
Italy,44.7,55.3
Belgium,44.5,55.5
Albania,44.3,55.7
India,44.0,56.0
France,43.7,56.3
Jordan,43.1,56.9
Australia,42.4,57.6
United Kingdom,41.2,58.8
Turkey,41.1,58.9
Bosnia And Herzegovina,41.0,59.0
Tunisia,40.9,59.1
Greece,40.3,59.7
Bulgaria,40.2,59.8
Lithuania,40.0,60.0
Philippines,39.8,60.2
Canada,39.2,60.8
New Zealand,38.8,61.2
Montenegro,38.7,61.3
North Macedonia,38.7,61.3
Serbia,38.6,61.4
Hungary,38.4,61.6
Palestine,38.0,62.0
Nepal,37.2,62.8
Latvia,36.5,63.5
Brunei,36.1,63.9
Portugal,35.4,64.6
Bahrain,35.3,64.7
Sudan,35.0,65.0
Sri Lanka,34.6,65.4
China,33.9,66.1
Kuwait,33.5,66.5
Cyprus,32.5,67.5
Germany,32.0,68.0
Poland,31.5,68.5
Spain,31.3,68.7
Malta,30.6,69.4
Czech Republic,30.2,69.8
Slovakia,30.2,69.8
Netherlands,29.9,70.1
Luxembourg,29.0,71.0
Israel,29.0,71.0
Romania,27.9,72.1
Croatia,27.8,72.2
Iceland,27.5,72.5
Armenia,27.1,72.9
Azerbaijan,27.1,72.9
South Korea,25.3,74.7
Finland,24.6,75.4
Oman,24.5,75.5
Slovenia,24.1,75.9
Saudi Arabia,23.6,76.4
Estonia,23.0,77.0
Switzerland,22.4,77.6
Belarus,22.3,77.7
Denmark,21.1,78.9
Japan,20.9,79.1
Georgia,20.8,79.2
Hong Kong,20.7,79.3
United Arab Emirates,20.7,79.3
Austria,19.2,80.8
Taiwan,17.2,82.8
Singapore,16.6,83.4
Qatar,15.7,84.3
