Country,Crime,Safety
Venezuela,83.2,16.8
Papua New Guinea,80.3,19.7
Afghanistan,78.2,21.8
South Africa,75.4,24.6
Honduras,74.7,25.3
Trinidad And Tobago,70.6,29.4
Guyana,68.9,31.1
Jamaica,68.3,31.7
El Salvador,67.6,32.4
Syria,67.5,32.5
Peru,67.2,32.8
Brazil,66.8,33.2
Angola,66.7,33.3
Somalia,66.4,33.6
Cameroon,65.3,34.7
Namibia,65.0,35.0
Nigeria,64.1,35.9
Argentina,64.1,35.9
Bangladesh,63.1,36.9
Mozambique,62.9,37.1
Bahamas,62.9,37.1
Puerto Rico,61.8,38.2
Dominican Republic,61.5,38.5
Us Virgin Islands,61.2,38.8
Libya,60.6,39.4
Zimbabwe,59.6,40.4
Colombia,58.7,41.3
Bolivia,58.4,41.6
North Korea,58.1,41.9
Guatemala,58.0,42.0
Ecuador,57.9,42.1
Belarus,57.2,42.8
Fiji,57.1,42.9
Chile,56.5,43.5
Kenya,56.3,43.7
Kyrgyzstan,55.9,44.1
Tanzania,55.8,44.2
Uganda,55.6,44.4
Maldives,55.1,44.9
Mongolia,54.5,45.5
France,54.4,45.6
Malaysia,54.4,45.6
Mexico,53.9,46.1
Costa Rica,53.9,46.1
Botswana,53.7,46.3
Algeria,53.2,46.8
Kazakhstan,53.0,47.0
Uruguay,52.1,47.9
Belize,52.0,48.0
Cambodia,51.7,48.3
Iran,49.7,50.3
Ethiopia,49.4,50.6
Paraguay,49.0,51.0
Mauritius,48.8,51.2
Sweden,48.8,51.2
United States,48.4,51.6
Nicaragua,48.1,51.9
Greece,48.0,52.0
Myanmar,47.8,52.2
Moldova,47.4,52.6
Morocco,47.4,52.6
Albania,47.0,53.0
Barbados,46.9,53.1
Belgium,46.7,53.3
Zambia,46.6,53.4
United Kingdom,46.6,53.4
Egypt,46.6,53.4
Lebanon,46.6,53.4
Ukraine,46.6,53.4
Ghana,46.3,53.7
Italy,46.2,53.8
Iraq,46.2,53.8
Indonesia,46.1,53.9
Ireland,45.9,54.1
Vietnam,45.8,54.2
Sudan,45.6,54.4
Australia,44.8,55.2
New Zealand,44.6,55.4
India,44.6,55.4
Tunisia,43.9,56.1
Malta,43.7,56.3
Canada,43.6,56.4
Panama,43.6,56.4
Kosovo (Disputed Territory),43.4,56.6
Bosnia And Herzegovina,42.7,57.3
Philippines,42.4,57.6
Palestine,41.9,58.1
Pakistan,41.6,58.4
Jordan,41.0,59.0
North Macedonia,41.0,59.0
Sri Lanka,41.0,59.0
Montenegro,40.4,59.6
Turkey,39.9,60.1
Russia,39.3,60.7
Thailand,38.9,61.1
Latvia,38.5,61.5
Bulgaria,38.4,61.6
Serbia,38.2,61.8
Nepal,37.8,62.2
Germany,37.0,63.0
Luxembourg,35.6,64.4
Spain,35.0,65.0
Hungary,33.9,66.1
Uzbekistan,33.7,66.3
Norway,33.5,66.5
Kuwait,33.0,67.0
Lithuania,32.6,67.4
Romania,32.5,67.5
Israel,32.2,67.8
Poland,32.1,67.9
Azerbaijan,31.7,68.3
Cuba,31.7,68.3
Portugal,31.5,68.5
Cyprus,31.1,68.9
Slovakia,30.5,69.5
Brunei,29.5,70.5
China,28.8,71.2
Netherlands,27.6,72.4
Singapore,27.2,72.8
Finland,26.8,73.2
Austria,26.8,73.2
Denmark,26.3,73.7
South Korea,26.1,73.9
Czech Republic,25.8,74.2
Rwanda,25.5,74.5
Georgia,25.3,74.7
Bahrain,24.9,75.1
Monaco,24.9,75.1
Saudi Arabia,24.6,75.4
Iceland,24.3,75.7
Estonia,24.1,75.9
Croatia,24.0,76.0
Slovenia,23.2,76.8
Japan,22.2,77.8
Switzerland,22.1,77.9
Armenia,21.7,78.3
Hong Kong,21.6,78.4
Oman,19.7,80.3
Isle Of Man,18.3,81.7
Taiwan,16.1,83.9
United Arab Emirates,14.9,85.1
Qatar,14.2,85.8
