Rank,Crime Index,Safety Index
Venezuela,83.6,16.4
Papua New Guinea,81.2,18.8
Afghanistan,77.0,23.0
South Africa,76.1,23.9
Honduras,74.2,25.8
Trinidad And Tobago,71.4,28.6
Guyana,68.9,31.1
El Salvador,68.6,31.4
Jamaica,67.8,32.2
Syria,67.5,32.5
Peru,67.1,32.9
Brazil,67.0,33.0
Cameroon,66.6,33.4
Angola,66.4,33.6
Namibia,64.7,35.3
Argentina,64.1,35.9
Nigeria,63.8,36.2
Bangladesh,63.4,36.6
Mozambique,62.8,37.2
Bahamas,62.5,37.5
Puerto Rico,62.2,37.8
Us Virgin Islands,60.9,39.1
Dominican Republic,60.9,39.1
Libya,60.3,39.7
North Korea,60.3,39.7
Zimbabwe,59.7,40.3
Belarus,58.4,41.6
Bolivia,58.3,41.7
Guatemala,58.3,41.7
Somalia,58.0,42.0
Colombia,57.7,42.3
Ecuador,57.2,42.8
Kyrgyzstan,56.6,43.4
Tanzania,56.3,43.7
Uganda,56.2,43.8
Kenya,56.2,43.8
Malaysia,55.7,44.3
Fiji,55.6,44.4
Maldives,54.7,45.3
Chile,54.0,46.0
Costa Rica,53.9,46.1
Algeria,53.8,46.2
Mongolia,53.7,46.3
Mexico,53.7,46.3
Kazakhstan,53.4,46.6
France,52.4,47.6
Botswana,52.4,47.6
Belize,51.5,48.5
Uruguay,51.4,48.6
Cambodia,50.7,49.3
Ethiopia,50.1,49.9
Paraguay,49.2,50.8
Iran,49.1,50.9
Morocco,49.1,50.9
Sweden,49.0,51.0
Mauritius,48.9,51.1
United States,48.2,51.8
Nicaragua,47.9,52.1
Moldova,47.4,52.6
Greece,47.4,52.6
Iraq,47.0,53.0
Ukraine,46.9,53.1
Lebanon,46.9,53.1
Ghana,46.8,53.2
Egypt,46.6,53.4
Barbados,46.6,53.4
Myanmar,46.5,53.5
United Kingdom,46.5,53.5
Zambia,46.3,53.7
Indonesia,46.1,53.9
Albania,46.1,53.9
Vietnam,45.8,54.2
Ireland,45.5,54.5
Belgium,45.4,54.6
Italy,45.2,54.8
India,44.6,55.4
Sudan,44.6,55.4
Tunisia,44.3,55.7
Panama,43.9,56.1
Australia,43.8,56.2
New Zealand,43.3,56.7
Palestine,43.2,56.8
Canada,42.9,57.1
Philippines,42.3,57.7
Kosovo (Disputed Territory),42.3,57.7
Bosnia And Herzegovina,42.2,57.8
Pakistan,42.0,58.0
Sri Lanka,41.2,58.8
Montenegro,41.1,58.9
North Macedonia,40.9,59.1
Malta,40.8,59.2
Jordan,40.2,59.8
Turkey,39.7,60.3
Russia,39.6,60.4
Thailand,39.3,60.7
Bulgaria,38.7,61.3
Latvia,38.7,61.3
Serbia,38.3,61.7
Nepal,37.5,62.5
Germany,36.4,63.6
Luxembourg,35.7,64.3
Hungary,34.3,65.7
Spain,33.9,66.1
Norway,33.8,66.2
Uzbekistan,33.8,66.2
Kuwait,33.4,66.6
Lithuania,33.3,66.7
Azerbaijan,32.3,67.7
Israel,32.1,67.9
Cyprus,32.1,67.9
Cuba,30.9,69.1
Portugal,30.6,69.4
Slovakia,30.2,69.8
Poland,29.8,70.2
China,29.4,70.6
Brunei,29.0,71.0
Romania,28.8,71.2
Netherlands,27.9,72.1
Singapore,27.6,72.4
Finland,27.3,72.7
Denmark,26.6,73.4
South Korea,26.5,73.5
Austria,26.1,73.9
Czech Republic,25.5,74.5
Monaco,25.1,74.9
Saudi Arabia,24.7,75.3
Bahrain,24.4,75.6
Rwanda,24.3,75.7
Georgia,24.3,75.7
Croatia,24.1,75.9
Estonia,23.8,76.2
Iceland,23.5,76.5
Slovenia,22.7,77.3
Armenia,22.1,77.9
Japan,22.1,77.9
Hong Kong,21.9,78.1
Switzerland,21.7,78.3
Oman,20.0,80.0
Isle Of Man,18.6,81.4
Taiwan,15.9,84.1
United Arab Emirates,15.1,84.9
Qatar,13.8,86.2
