Rank,Crime Index,Safety Index
Venezuela,84.4,15.6
South Sudan,81.3,18.7
South Africa,78.4,21.6
Papua New Guinea,77.6,22.4
Honduras,76.4,23.6
Nigeria,74.1,25.9
Trinidad And Tobago,72.6,27.4
El Salvador,72.0,28.0
Brazil,71.2,28.8
Kenya,69.5,30.5
Bangladesh,68.6,31.4
Malaysia,68.6,31.4
Puerto Rico,65.9,34.1
Jamaica,65.5,34.5
Peru,64.0,36.0
Guatemala,63.5,36.5
Argentina,63.3,36.7
Dominican Republic,63.2,36.8
Namibia,60.9,39.1
Tanzania,60.0,40.0
Zimbabwe,60.0,40.0
Libya,57.8,42.2
Mongolia,57.8,42.2
Algeria,57.6,42.4
Costa Rica,57.6,42.4
Pakistan,56.6,43.4
Bolivia,56.6,43.4
Egypt,56.5,43.5
Somalia,55.7,44.3
Vietnam,55.7,44.3
Syria,54.7,45.3
Mauritius,53.7,46.3
Uruguay,53.1,46.9
Ecuador,52.9,47.1
Panama,52.7,47.3
Iran,52.4,47.6
Iraq,51.5,48.5
Mexico,50.8,49.2
Lebanon,50.6,49.4
Morocco,50.3,49.7
Ghana,49.0,51.0
United States,48.9,51.1
Ukraine,48.6,51.4
Colombia,48.5,51.5
Ireland,48.4,51.6
Cambodia,48.2,51.8
Moldova,48.2,51.8
Albania,48.2,51.8
Montenegro,47.8,52.2
Russia,47.3,52.7
Indonesia,47.0,53.0
Jordan,46.9,53.1
India,46.6,53.4
Sri Lanka,46.3,53.7
Italy,46.2,53.8
Kazakhstan,45.9,54.1
Belgium,45.2,54.8
Maldives,45.0,55.0
France,44.1,55.9
Serbia,43.3,56.7
Lithuania,43.2,56.8
United Kingdom,43.1,56.9
Australia,43.1,56.9
Sweden,43.1,56.9
Thailand,42.6,57.4
Bosnia And Herzegovina,42.5,57.5
Nepal,42.1,57.9
Chile,42.0,58.0
Hungary,41.9,58.1
Bulgaria,41.4,58.6
Turkey,39.4,60.6
Canada,39.2,60.8
Tunisia,38.9,61.1
Greece,38.5,61.5
North Macedonia,38.0,62.0
Latvia,37.8,62.2
Philippines,37.6,62.4
Bahrain,37.3,62.7
Brunei,37.0,63.0
New Zealand,36.4,63.6
Kuwait,36.0,64.0
Luxembourg,36.0,64.0
Portugal,35.1,64.9
Ethiopia,34.2,65.8
Slovakia,33.5,66.5
Germany,33.0,67.0
Azerbaijan,32.4,67.6
China,32.1,67.9
Czech Republic,32.1,67.9
Spain,31.8,68.2
Netherlands,31.5,68.5
Poland,31.4,68.6
Armenia,31.1,68.9
Israel,30.6,69.4
Cyprus,30.2,69.8
Norway,30.1,69.9
Iceland,29.9,70.1
Romania,29.7,70.3
Croatia,29.5,70.5
Oman,29.0,71.0
Finland,28.1,71.9
Belarus,27.6,72.4
Malta,26.7,73.3
Slovenia,26.3,73.7
Switzerland,25.7,74.3
Denmark,25.7,74.3
Saudi Arabia,25.2,74.8
Estonia,24.7,75.3
Austria,24.1,75.9
United Arab Emirates,23.1,76.9
Qatar,22.3,77.7
Georgia,22.2,77.8
Taiwan,21.2,78.8
Hong Kong,20.8,79.2
Japan,19.3,80.7
Singapore,15.8,84.2
South Korea,14.3,85.7
