Rank,Crime Index,Safety Index
South Sudan,85.3,14.7
Venezuela,84.1,15.9
Guatemala,79.3,20.7
South Africa,78.4,21.6
Afghanistan,77.3,22.7
Guyana,76.9,23.1
Nigeria,76.6,23.4
Trinidad And Tobago,75.3,24.7
Honduras,74.9,25.1
Bahamas,72.9,27.1
Kenya,72.6,27.4
Jamaica,71.9,28.1
Mongolia,70.3,29.7
Yemen,70.1,29.9
Malaysia,70.0,30.0
Papua New Guinea,69.9,30.1
Libya,69.6,30.4
El Salvador,69.4,30.6
Brazil,69.0,31.0
Maldives,68.8,31.3
Angola,68.0,32.0
Dominican Republic,67.7,32.3
Puerto Rico,67.1,32.9
Bolivia,65.6,34.4
Somalia,65.6,34.4
Kyrgyzstan,65.1,34.9
Cameroon,64.8,35.2
Bangladesh,64.2,35.8
Costa Rica,63.0,37.0
Argentina,62.4,37.6
Haiti,62.3,37.7
Belize,62.3,37.7
Zimbabwe,62.2,37.8
Tanzania,61.8,38.2
Pakistan,61.2,38.8
Mozambique,60.5,39.5
Egypt,60.1,39.9
Uganda,59.4,40.6
Uzbekistan,58.1,41.9
Peru,57.6,42.4
Colombia,56.9,43.1
Syria,56.3,43.7
Namibia,55.6,44.4
Paraguay,55.6,44.4
Iraq,54.1,45.9
Ecuador,54.0,46.0
Mexico,53.8,46.2
Vietnam,52.3,47.7
Lebanon,52.0,48.0
Algeria,51.3,48.7
Russia,51.3,48.7
Iran,50.9,49.1
Panama,50.1,49.9
United States,50.0,50.0
Sri Lanka,50.0,50.0
Myanmar,49.8,50.2
France,49.7,50.3
Moldova,49.7,50.3
Albania,49.6,50.4
Fiji,49.4,50.6
Ghana,49.4,50.6
Ukraine,49.4,50.6
Nepal,49.2,50.8
Ireland,49.1,50.9
Mauritius,48.5,51.5
Morocco,47.5,52.5
Italy,47.5,52.5
Indonesia,47.2,52.8
Uruguay,47.2,52.8
Botswana,46.8,53.2
Kosovo (Disputed Territory),46.8,53.2
Kazakhstan,46.7,53.3
India,46.5,53.5
Bosnia And Herzegovina,45.8,54.2
Jordan,45.5,54.5
Chile,45.0,55.0
Barbados,44.4,55.6
Cambodia,44.1,55.9
Timor-Leste,43.8,56.2
Kuwait,43.5,56.5
Bulgaria,43.5,56.5
Serbia,43.4,56.6
Philippines,43.1,56.9
Tunisia,42.7,57.3
Nicaragua,42.4,57.6
Australia,42.2,57.8
Sweden,42.1,57.9
Belgium,42.0,58.0
United Kingdom,42.0,58.0
Hungary,41.8,58.2
China,41.7,58.3
Zambia,41.7,58.3
Greece,41.4,58.6
Bermuda,40.3,59.7
Bahrain,40.0,60.0
New Zealand,39.8,60.2
Canada,37.5,62.5
Latvia,37.2,62.8
Thailand,37.1,62.9
Lithuania,36.7,63.3
Turkey,36.4,63.6
Laos,36.2,63.8
North Macedonia,36.1,63.9
Portugal,35.8,64.2
Luxembourg,35.7,64.3
Sudan,35.7,64.3
Azerbaijan,35.5,64.5
Netherlands,35.4,64.6
Palestine,35.4,64.6
Ethiopia,35.1,64.9
Montenegro,34.9,65.1
Saudi Arabia,34.6,65.4
Oman,34.4,65.6
Spain,33.9,66.1
Slovakia,33.3,66.7
Iceland,33.3,66.7
Poland,33.0,67.0
Czech Republic,32.9,67.1
Cyprus,31.6,68.4
Norway,31.2,68.8
Belarus,30.5,69.5
Israel,30.4,69.6
Brunei,30.4,69.6
Romania,29.7,70.3
Finland,29.5,70.5
Croatia,29.3,70.7
Armenia,29.1,70.9
Slovenia,28.7,71.3
Germany,28.5,71.5
Estonia,28.1,71.9
Monaco,27.9,72.1
Switzerland,26.8,73.2
Austria,26.2,73.8
Malta,25.9,74.1
Denmark,25.7,74.3
United Arab Emirates,22.2,77.8
Georgia,22.0,78.0
Taiwan,21.9,78.1
Qatar,21.0,79.0
Japan,20.2,79.8
Hong Kong,19.2,80.8
Rwanda,19.2,80.8
Faroe Islands,18.5,81.5
South Korea,18.0,82.0
Turkmenistan,17.9,82.1
Singapore,17.6,82.4
Isle Of Man,15.1,84.9
