Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Hong Kong,37.6,2.0,2.1,51.2,46.7,239.9,0.4
Vietnam,34.1,3.7,6.4,27.3,15.6,374.9,0.3
Ghana,29.9,10.6,14.5,9.4,6.9,737.5,0.1
Cambodia,29.8,6.3,6.1,15.9,16.5,336.1,0.3
Ukraine,26.2,4.9,5.1,20.6,19.6,611.8,0.2
China,25.0,2.5,2.6,39.6,37.8,210.6,0.5
Thailand,24.4,4.3,3.6,23.1,27.9,214.2,0.5
Syria,24.3,4.8,5.5,20.8,18.1,236.4,0.4
Singapore,23.2,2.7,3.2,36.5,31.3,144.4,0.7
Taiwan,22.7,1.2,1.5,83.3,66.8,139.8,0.7
Belarus,21.1,4.9,4.9,20.5,20.4,721.2,0.1
Kenya,20.2,6.8,4.3,14.8,23.4,332.8,0.3
Japan,20.2,1.6,2.0,63.8,50.2,119.6,0.8
Indonesia,19.5,4.5,4.9,22.1,20.5,225.5,0.4
Philippines,19.2,3.0,3.1,33.3,32.6,193.1,0.5
Algeria,19.1,2.9,3.7,34.0,27.1,152.1,0.7
Moldova,18.3,5.6,6.1,17.9,16.4,257.5,0.4
Armenia,18.2,5.8,5.1,17.2,19.8,286.4,0.3
Brazil,17.9,4.2,4.2,23.6,24.1,239.4,0.4
Nepal,17.9,2.4,3.1,42.3,32.1,215.9,0.5
Azerbaijan,17.8,5.6,5.5,17.8,18.1,210.9,0.5
Sri Lanka,17.3,5.6,4.0,17.8,24.8,239.3,0.4
Ethiopia,17.0,13.3,9.7,7.5,10.3,214.8,0.5
Serbia,16.6,3.1,3.4,32.3,29.7,148.4,0.7
Uzbekistan,16.4,6.5,6.5,15.4,15.4,302.0,0.3
Georgia,16.3,7.8,9.0,12.8,11.1,224.7,0.4
Colombia,16.3,5.2,5.1,19.3,19.6,218.4,0.5
Peru,15.9,5.0,5.4,19.9,18.5,184.0,0.5
Montenegro,15.6,3.8,3.4,26.5,29.4,182.1,0.5
North Macedonia,15.5,3.5,3.4,28.4,29.2,138.6,0.7
Pakistan,15.3,3.4,3.2,29.8,31.2,218.8,0.5
South Korea,14.9,2.2,3.4,45.6,29.2,110.7,0.9
Uruguay,14.8,4.7,4.6,21.4,21.8,149.3,0.7
Iran,14.8,5.8,6.9,17.3,14.5,356.1,0.3
Morocco,14.7,4.8,4.5,20.9,22.4,125.5,0.8
Albania,14.1,4.0,5.3,24.9,18.8,128.6,0.8
Kazakhstan,13.2,5.1,5.6,19.7,17.7,199.3,0.5
Lebanon,12.9,6.0,6.9,16.7,14.6,114.6,0.9
Lithuania,12.9,4.2,4.4,23.6,22.6,84.1,1.2
Russia,12.8,6.7,6.4,15.0,15.6,192.9,0.5
Argentina,12.2,3.6,3.8,27.7,26.1,269.1,0.4
Panama,12.1,11.5,7.7,8.7,13.0,98.2,1.0
Dominican Republic,12.1,6.7,6.8,14.8,14.7,152.0,0.7
France,11.9,2.6,3.2,37.9,31.4,78.5,1.3
Croatia,11.9,3.1,3.5,32.0,28.3,101.8,1.0
Ecuador,11.8,6.7,5.1,14.9,19.7,138.6,0.7
Tunisia,11.5,5.4,5.5,18.6,18.3,107.7,0.9
Sweden,11.2,2.5,3.1,39.3,32.0,69.8,1.4
Estonia,11.1,3.9,4.0,25.4,25.3,71.1,1.4
Poland,11.0,4.4,5.0,22.6,20.0,81.5,1.2
Bosnia And Herzegovina,10.9,3.5,3.3,28.9,30.3,105.9,0.9
Egypt,10.8,7.0,8.2,14.2,12.2,131.2,0.8
Latvia,10.7,4.6,5.9,21.8,17.0,72.7,1.4
Israel,10.6,3.3,3.5,30.4,28.5,67.5,1.5
Romania,10.6,4.9,4.7,20.4,21.1,87.7,1.1
India,10.5,3.0,3.8,33.3,26.4,127.9,0.8
Italy,10.4,3.1,4.0,32.6,25.0,73.1,1.4
Czech Republic,10.3,4.2,4.7,23.8,21.3,65.3,1.5
Bolivia,10.0,5.8,5.9,17.1,16.8,96.1,1.0
Chile,9.9,4.3,5.1,23.1,19.7,78.8,1.3
Bangladesh,9.8,4.2,4.5,24.1,22.3,147.0,0.7
Hungary,9.8,5.4,6.1,18.4,16.3,86.8,1.2
Jamaica,9.8,7.0,4.4,14.3,22.8,116.6,0.9
Slovenia,9.7,3.9,4.1,25.9,24.7,71.2,1.4
Austria,9.5,3.6,4.0,27.5,25.1,60.2,1.7
United Kingdom,9.3,4.4,4.5,22.6,22.1,65.5,1.5
Malaysia,9.1,4.1,4.1,24.4,24.6,69.9,1.4
Slovakia,9.0,6.3,6.5,15.8,15.5,58.6,1.7
Jordan,9.0,6.2,6.6,16.1,15.2,97.1,1.0
Bulgaria,8.8,5.5,5.9,18.2,17.0,79.8,1.3
Luxembourg,8.7,4.3,4.4,23.0,22.8,52.7,1.9
Malta,8.7,5.3,5.7,18.9,17.5,59.5,1.7
Switzerland,8.6,3.1,3.3,32.7,30.5,51.2,2.0
Ireland,8.5,4.5,5.5,22.2,18.2,62.4,1.6
Australia,8.4,4.4,4.5,22.9,22.1,66.3,1.5
Portugal,8.4,5.7,5.9,17.6,16.9,61.0,1.6
Turkey,8.1,5.4,6.3,18.6,15.8,106.9,0.9
Spain,8.1,4.5,5.1,22.3,19.5,54.6,1.8
Iraq,7.7,8.6,9.8,11.6,10.2,89.6,1.1
Finland,7.7,3.7,4.5,26.9,22.0,46.5,2.2
Costa Rica,7.7,7.0,6.0,14.3,16.5,102.4,1.0
Greece,7.4,4.1,3.9,24.5,25.6,53.6,1.9
Norway,7.4,4.5,4.8,22.2,20.9,49.5,2.0
Germany,7.1,3.8,4.1,26.2,24.5,45.6,2.2
Palestine,7.1,6.0,6.2,16.8,16.1,58.1,1.7
Tanzania,7.1,11.9,16.1,8.4,6.2,96.6,1.0
Qatar,6.9,9.5,7.0,10.6,14.3,51.1,2.0
Cyprus,6.7,4.7,4.9,21.4,20.5,54.9,1.8
