Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Georgia,40.6,2.4,2.0,42.5,49.9,571.3,0.2
Cambodia,35.9,2.7,3.0,37.1,33.9,445.1,0.2
Singapore,25.4,3.6,4.0,27.7,25.0,162.9,0.6
China,25.0,3.4,3.4,29.2,29.3,214.9,0.5
Indonesia,24.8,5.4,3.5,18.6,28.6,267.3,0.4
Belarus,24.2,4.0,4.2,25.0,24.0,568.5,0.2
Hong Kong,23.6,2.9,3.4,34.9,29.3,150.4,0.7
Mauritius,23.4,3.1,2.2,32.5,44.5,243.5,0.4
Venezuela,23.2,8.4,7.5,11.9,13.4,356.8,0.3
Ghana,22.9,7.7,6.3,13.0,15.9,577.0,0.2
Syria,22.9,5.0,8.3,19.8,12.0,247.3,0.4
Azerbaijan,21.0,7.8,11.2,12.9,8.9,210.3,0.5
Morocco,19.8,5.0,5.7,19.9,17.6,199.0,0.5
Nepal,19.8,1.4,2.1,69.5,48.3,229.2,0.4
Moldova,18.8,4.9,5.5,20.4,18.1,273.0,0.4
Lebanon,18.4,4.3,5.3,23.5,18.8,158.3,0.6
Pakistan,18.3,3.3,3.7,30.1,27.2,318.6,0.3
Thailand,17.7,5.6,4.4,17.8,22.5,151.9,0.7
Serbia,17.4,3.1,3.5,31.8,28.9,174.6,0.6
North Macedonia,17.3,3.3,3.6,29.9,27.7,199.8,0.5
Algeria,17.2,2.4,2.7,42.0,37.5,159.8,0.6
Philippines,16.4,5.1,4.0,19.5,24.8,202.6,0.5
Ukraine,15.5,5.5,5.3,18.1,18.8,273.3,0.4
Iran,15.5,5.4,6.2,18.7,16.2,287.3,0.3
Taiwan,15.5,1.6,6.6,62.8,15.2,94.2,1.1
Montenegro,15.1,3.0,3.7,33.0,27.0,163.3,0.6
Albania,15.0,3.3,5.6,30.6,17.7,145.4,0.7
Colombia,14.9,4.8,4.9,20.7,20.3,196.7,0.5
Ethiopia,14.5,22.7,12.9,4.4,7.8,179.3,0.6
Romania,14.3,4.8,4.7,20.7,21.5,143.9,0.7
Vietnam,13.8,8.2,8.5,12.2,11.8,205.5,0.5
Lithuania,13.7,3.8,3.9,26.2,25.4,117.5,0.9
Brazil,13.3,4.8,4.9,20.8,20.2,157.1,0.6
Ecuador,13.3,7.6,6.9,13.2,14.4,144.0,0.7
Sri Lanka,13.0,9.0,4.2,11.1,23.5,161.6,0.6
Peru,13.0,4.2,4.9,24.0,20.6,145.9,0.7
Croatia,13.0,3.0,2.9,33.9,34.8,120.9,0.8
Poland,13.0,4.0,4.8,25.3,20.7,111.8,0.9
Kazakhstan,12.8,7.8,8.4,12.8,11.9,199.6,0.5
Italy,12.6,3.1,3.8,32.7,26.1,99.7,1.0
Tunisia,12.2,4.0,7.6,24.8,13.1,136.7,0.7
Slovenia,12.1,3.8,3.9,26.3,25.8,100.9,1.0
Russia,12.0,6.5,6.4,15.3,15.6,168.7,0.6
Nigeria,11.8,4.1,6.6,24.2,15.1,224.1,0.4
Bosnia And Herzegovina,11.7,2.7,3.3,37.2,30.2,108.8,0.9
Greece,11.6,3.2,3.5,31.6,28.5,91.6,1.1
Uruguay,11.5,6.9,5.7,14.5,17.6,148.4,0.7
Trinidad And Tobago,11.5,8.4,5.3,11.9,18.9,120.0,0.8
South Korea,11.5,2.2,2.7,45.1,36.9,91.2,1.1
Egypt,11.2,6.3,7.2,15.9,13.9,124.8,0.8
Bangladesh,11.1,4.4,4.2,22.5,24.0,185.4,0.5
Dominican Republic,11.0,6.6,7.7,15.1,12.9,184.3,0.5
Iraq,10.8,7.7,7.5,12.9,13.4,189.2,0.5
Hungary,10.7,3.9,4.1,25.7,24.5,107.5,0.9
Czech Republic,10.3,4.7,4.5,21.4,22.4,75.1,1.3
Israel,10.3,3.9,4.1,25.6,24.3,75.0,1.3
Panama,10.3,10.2,9.5,9.8,10.5,88.7,1.1
Argentina,10.2,4.5,5.3,22.2,18.7,208.6,0.5
Bulgaria,10.2,5.4,5.6,18.4,17.9,102.6,1.0
Latvia,10.0,5.1,4.6,19.6,21.8,72.7,1.4
India,10.0,3.2,3.6,31.5,27.9,123.3,0.8
Spain,9.4,3.4,4.3,29.6,23.2,68.7,1.5
Kenya,9.4,7.1,7.3,14.0,13.8,165.8,0.6
Finland,9.4,3.3,4.0,30.1,24.8,59.6,1.7
Estonia,9.3,4.5,4.5,22.4,22.2,61.6,1.6
Chile,9.2,5.4,4.8,18.4,20.8,79.5,1.3
Bolivia,8.8,6.8,6.0,14.8,16.7,81.6,1.2
Jordan,8.5,7.6,6.1,13.2,16.3,87.3,1.1
Austria,8.5,3.8,4.6,26.6,21.8,61.5,1.6
Sweden,8.4,2.7,3.7,37.3,27.2,61.2,1.6
France,8.4,3.4,4.0,29.1,24.8,60.9,1.6
Australia,8.1,4.6,5.3,21.5,18.8,74.4,1.3
Portugal,8.0,6.1,6.6,16.4,15.2,58.3,1.7
Slovakia,7.9,8.2,6.3,12.1,15.8,62.2,1.6
Malta,7.3,3.2,5.2,31.3,19.1,51.1,2.0
Norway,7.2,4.6,4.9,21.8,20.6,52.0,1.9
Japan,7.0,4.7,5.8,21.1,17.1,42.4,2.4
Denmark,7.0,4.0,4.4,24.9,22.5,49.4,2.0
Belgium,6.8,5.2,4.5,19.4,22.2,49.8,2.0
United Kingdom,6.7,5.8,5.2,17.3,19.3,51.1,2.0
Luxembourg,6.7,5.0,5.0,20.2,19.9,42.1,2.4
Malaysia,6.7,6.1,4.2,16.4,24.0,53.2,1.9
New Zealand,6.4,6.7,6.0,14.9,16.7,55.0,1.8
Costa Rica,6.3,7.9,11.5,12.6,8.7,86.5,1.2
Netherlands,6.3,5.8,6.3,17.1,15.8,48.3,2.1
Cyprus,6.2,6.1,4.5,16.5,22.1,53.7,1.9
Switzerland,6.2,4.2,4.2,23.7,24.0,37.8,2.6
