Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Turkey,6.2,6.5,7.2,15.5,13.9,81.8,1.2
Iceland,6.0,7.9,6.9,12.7,14.5,59.9,1.7
Kuwait,5.9,7.4,5.9,13.4,16.9,46.9,2.1
Jamaica,5.8,10.9,13.0,9.2,7.7,96.3,1.0
Mexico,5.7,6.4,6.6,15.7,15.1,74.7,1.3
Qatar,5.5,6.8,8.8,14.7,11.3,43.5,2.3
Ireland,5.3,6.0,6.3,16.7,15.8,40.6,2.5
Canada,5.1,5.6,6.5,17.9,15.5,36.6,2.7
Germany,4.8,5.0,5.6,20.0,18.0,34.7,2.9
United Arab Emirates,4.2,9.6,10.1,10.4,9.9,39.2,2.6
Puerto Rico,4.0,6.5,7.9,15.4,12.7,34.8,2.9
Bahrain,3.5,11.8,10.5,8.5,9.5,35.5,2.8
South Africa,3.2,8.9,8.3,11.2,12.0,34.6,2.9
Saudi Arabia,3.1,6.1,5.2,16.4,19.4,22.6,4.4
Oman,3.0,9.4,10.3,10.6,9.8,28.0,3.6
United States,2.2,11.8,13.4,8.5,7.5,16.4,6.1
