Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Venezuela,133.3,6.2,6.5,16.1,15.5,3025.0,0.0
Syria,60.8,2.7,3.0,36.9,33.3,662.8,0.2
Hong Kong,47.5,1.8,1.8,56.5,54.7,303.3,0.3
Cambodia,42.3,4.8,6.2,20.9,16.1,479.5,0.2
Kenya,31.6,2.1,4.1,46.6,24.5,472.2,0.2
Sri Lanka,31.1,2.9,2.4,34.8,42.3,478.8,0.2
China,29.1,1.7,1.9,58.3,52.4,231.7,0.4
Iran,25.1,4.9,5.4,20.3,18.4,515.5,0.2
Nepal,24.7,2.6,3.2,38.9,31.0,314.2,0.3
Philippines,24.6,3.4,3.9,29.0,25.3,237.1,0.4
Argentina,24.5,1.9,1.9,51.9,51.3,1041.2,0.1
Taiwan,23.7,1.4,1.5,72.6,66.6,142.5,0.7
Singapore,22.3,2.3,2.8,43.0,36.0,142.1,0.7
Thailand,22.3,3.2,3.7,31.0,26.9,185.7,0.5
Vietnam,21.4,4.2,5.6,23.6,18.0,228.5,0.4
Colombia,19.7,4.5,4.1,22.1,24.4,255.6,0.4
Serbia,18.9,3.1,3.4,32.3,29.3,135.8,0.7
Indonesia,18.9,4.8,5.1,20.9,19.7,220.8,0.5
Algeria,17.8,3.0,3.8,33.3,26.2,150.3,0.7
South Korea,17.4,1.5,1.8,67.3,55.9,121.8,0.8
Armenia,16.6,5.8,5.7,17.1,17.4,214.0,0.5
Brazil,16.4,4.1,4.3,24.3,23.2,188.6,0.5
Uruguay,16.3,4.0,4.0,25.2,24.7,165.9,0.6
Azerbaijan,16.2,5.2,5.4,19.0,18.4,165.3,0.6
Albania,15.5,4.2,5.3,23.8,18.9,125.9,0.8
Czech Republic,15.4,3.3,3.7,30.1,27.4,99.5,1.0
Uzbekistan,15.3,6.1,7.2,16.4,13.8,288.7,0.3
Peru,15.0,5.5,5.1,18.2,19.7,162.8,0.6
Chile,14.9,4.3,3.9,23.0,25.7,106.3,0.9
Hungary,14.8,3.8,4.3,26.3,23.4,116.5,0.9
Belarus,14.6,5.0,4.6,19.9,21.6,223.2,0.4
Georgia,14.2,7.6,8.5,13.1,11.7,196.1,0.5
Morocco,14.2,4.5,4.7,22.3,21.5,114.3,0.9
Croatia,13.7,3.4,3.5,29.3,28.2,101.7,1.0
Dominican Republic,13.5,6.7,6.5,14.9,15.4,183.4,0.5
Montenegro,13.2,4.6,4.4,21.9,22.9,117.5,0.9
Lebanon,13.2,5.1,5.8,19.8,17.2,122.5,0.8
Bangladesh,13.1,2.9,3.7,34.4,27.1,163.4,0.6
France,13.0,2.4,3.0,41.0,33.1,76.7,1.3
Egypt,13.0,5.6,6.2,18.0,16.0,193.9,0.5
Japan,13.0,2.1,2.6,47.4,39.0,75.2,1.3
Israel,12.8,3.2,3.1,31.2,32.3,90.3,1.1
Ecuador,12.7,5.5,5.4,18.1,18.5,150.8,0.7
Portugal,12.7,5.0,6.1,19.8,16.4,79.2,1.3
Panama,12.6,8.2,8.0,12.2,12.5,101.9,1.0
North Macedonia,12.6,4.0,4.0,24.9,24.8,106.1,0.9
Bosnia And Herzegovina,12.6,3.4,3.2,29.7,31.1,98.1,1.0
Malta,12.3,5.7,7.0,17.6,14.3,90.4,1.1
Kuwait,12.3,3.4,5.3,29.6,19.0,100.3,1.0
Ukraine,12.2,6.5,7.5,15.5,13.3,244.0,0.4
Pakistan,12.0,4.9,5.3,20.5,19.0,178.8,0.6
Luxembourg,11.6,3.5,4.0,28.4,24.9,69.7,1.4
Poland,11.4,4.5,4.9,22.4,20.2,82.2,1.2
India,11.4,3.0,3.6,33.5,27.8,126.2,0.8
Romania,11.3,4.4,4.5,22.7,22.1,94.2,1.1
