Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Sweden,7.8,3.2,3.8,31.0,26.4,49.6,2.0
Bulgaria,7.7,5.1,5.7,19.8,17.6,53.0,1.9
Canada,7.5,4.7,5.4,21.2,18.4,51.0,2.0
Australia,7.2,4.1,4.7,24.4,21.3,50.0,2.0
Netherlands,7.2,5.2,5.3,19.2,18.9,43.4,2.3
Belgium,7.1,4.6,4.8,21.7,20.9,41.7,2.4
Denmark,6.8,4.0,4.3,25.1,23.3,39.5,2.5
Bahrain,6.6,8.5,8.5,11.8,11.7,59.1,1.7
Ireland,6.5,6.4,7.5,15.7,13.4,44.8,2.2
Cyprus,6.4,7.0,8.0,14.3,12.5,40.7,2.5
Iceland,6.4,6.2,6.8,16.3,14.8,49.9,2.0
Qatar,6.2,8.0,6.8,12.6,14.7,45.9,2.2
Palestine,4.9,7.7,8.2,13.0,12.3,46.2,2.2
Oman,4.6,6.8,6.1,14.7,16.4,35.6,2.8
United Arab Emirates,4.4,12.1,10.5,8.3,9.5,32.4,3.1
Puerto Rico,4.0,7.2,7.2,13.8,14.0,31.2,3.2
United States,4.0,8.0,10.8,12.5,9.3,28.5,3.5
South Africa,3.1,10.9,11.8,9.2,8.5,34.1,2.9
Saudi Arabia,2.8,7.3,7.1,13.8,14.1,20.5,4.9
