Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Syria,86.7,3.1,3.7,32.2,27.3,1089.3,0.1
Ghana,78.6,17.0,0.4,5.9,255.1,1937.5,0.1
Hong Kong (China),44.9,1.7,1.7,58.6,58.8,286.8,0.3
Sri Lanka,40.8,3.3,2.1,30.4,46.7,663.5,0.2
China,34.6,1.6,1.6,60.9,63.4,275.1,0.4
Nepal,32.8,1.7,2.5,59.2,40.7,444.5,0.2
Cambodia,32.5,4.8,5.1,20.9,19.6,398.7,0.3
Philippines,30.1,3.5,3.7,28.8,26.9,287.7,0.3
Nigeria,28.2,29.4,15.7,3.4,6.4,507.8,0.2
Ethiopia,26.4,10.9,6.8,9.1,14.8,445.7,0.2
South Korea,26.0,0.9,1.0,115.1,98.6,182.2,0.5
Iran,24.4,5.9,6.3,16.9,16.0,508.0,0.2
Thailand,24.0,3.2,3.1,31.5,32.5,195.2,0.5
Vietnam,23.5,3.3,3.8,30.1,26.6,271.0,0.4
Argentina,22.7,2.4,2.3,41.1,43.8,1058.3,0.1
Taiwan (China),20.1,1.5,1.7,64.9,57.6,119.4,0.8
Peru,19.0,4.8,4.5,20.6,22.2,203.8,0.5
Venezuela,18.9,7.9,6.2,12.6,16.2,471.6,0.2
Indonesia,18.5,4.1,4.8,24.2,20.8,207.9,0.5
Brazil,18.3,3.9,4.1,25.6,24.3,206.3,0.5
Lebanon,18.3,5.6,6.5,17.9,15.5,197.7,0.5
Mongolia,17.6,5.0,5.7,20.0,17.6,180.8,0.6
Colombia,17.5,4.8,4.8,21.0,21.0,222.1,0.5
Armenia,17.2,8.5,11.8,11.8,8.4,232.8,0.4
Russia,16.3,3.9,3.8,25.3,26.6,194.6,0.5
Kenya,16.0,3.5,4.6,28.5,21.7,216.9,0.5
Algeria,16.0,3.4,3.7,29.6,27.1,143.2,0.7
Serbia,15.9,3.9,4.0,25.8,25.1,115.8,0.9
Dominican Republic,15.8,7.9,5.5,12.7,18.2,210.0,0.5
Albania,15.7,4.3,5.2,23.1,19.1,122.3,0.8
Chile,15.6,4.5,4.4,22.3,22.7,130.4,0.8
Singapore,15.5,3.3,4.7,30.4,21.3,100.7,1.0
Czech Republic,14.9,3.0,3.0,33.7,32.9,118.5,0.8
Hungary,14.6,3.2,3.4,31.3,29.4,134.6,0.7
Azerbaijan,14.5,4.7,5.2,21.1,19.1,158.8,0.6
Kyrgyzstan,14.3,8.8,6.7,11.4,15.0,249.9,0.4
Morocco,14.2,4.6,5.0,21.7,19.8,111.2,0.9
Kosovo (Disputed Territory),14.1,4.1,5.6,24.2,18.0,110.2,0.9
Uzbekistan,14.1,8.2,10.7,12.2,9.4,291.1,0.3
Israel,14.1,2.8,2.9,35.1,34.5,98.5,1.0
Pakistan,13.9,4.7,5.3,21.4,18.9,201.1,0.5
Belarus,13.8,4.8,4.9,20.9,20.4,272.9,0.4
Uruguay,13.7,4.1,4.8,24.4,20.7,156.9,0.6
Georgia,13.3,10.0,12.1,10.0,8.3,177.4,0.6
Poland,13.3,3.7,4.4,27.2,23.0,122.6,0.8
North Macedonia,13.3,3.5,3.4,28.8,29.5,103.0,1.0
Slovakia,13.2,3.8,3.9,26.0,25.8,77.3,1.3
Croatia,13.2,3.2,3.2,31.7,31.2,91.3,1.1
Montenegro,13.1,5.3,5.1,18.8,19.6,104.6,1.0
Lithuania,12.7,4.0,4.0,25.3,25.2,80.6,1.2
Turkey,12.6,5.6,6.1,17.8,16.5,267.7,0.4
Portugal,12.6,5.4,6.0,18.4,16.7,78.0,1.3
Bangladesh,12.6,3.2,3.6,31.3,28.0,139.4,0.7
Ukraine,12.2,5.8,5.9,17.3,17.1,194.1,0.5
Moldova,12.1,5.3,6.1,18.7,16.3,139.6,0.7
Slovenia,12.1,3.6,3.7,28.1,26.7,77.3,1.3
Malta,12.1,5.3,5.6,18.8,18.0,88.7,1.1
Egypt,12.0,6.8,7.0,14.7,14.3,162.0,0.6
Guatemala,11.9,7.9,8.2,12.6,12.3,121.4,0.8
Tunisia,11.9,4.9,4.9,20.5,20.3,144.8,0.7
Estonia,11.8,3.4,3.7,29.1,26.9,73.8,1.4
France,11.8,2.8,2.9,36.2,34.0,68.6,1.5
Greece,11.5,4.3,4.5,23.1,22.5,85.7,1.2
Kuwait,11.5,3.1,4.7,32.5,21.2,90.7,1.1
Luxembourg,11.5,3.0,3.3,33.5,30.6,69.0,1.4
Bosnia And Herzegovina,11.4,2.9,2.9,34.7,34.5,79.5,1.3
Ecuador,11.1,6.4,5.4,15.7,18.7,126.5,0.8
