Rank,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
Romania,10.9,4.0,4.1,24.9,24.4,95.4,1.0
Germany,10.7,2.8,2.9,35.9,34.6,65.9,1.5
Bolivia,10.5,5.7,5.9,17.5,16.9,99.7,1.0
Austria,10.3,2.9,3.3,34.0,30.4,62.1,1.6
Japan,10.3,2.5,2.8,40.7,35.7,59.1,1.7
Panama,10.2,9.1,8.1,11.0,12.3,86.9,1.2
Sweden,9.9,2.8,3.4,36.0,29.1,61.7,1.6
Kazakhstan,9.7,8.8,8.4,11.4,12.0,148.3,0.7
Switzerland,9.7,2.8,3.2,35.9,31.2,56.1,1.8
Italy,9.7,3.9,4.9,25.5,20.2,57.5,1.7
Costa Rica,9.5,6.5,6.6,15.3,15.3,106.6,0.9
Canada,9.4,3.7,4.3,27.0,23.0,77.6,1.3
India,9.2,3.2,4.2,31.6,23.9,94.9,1.1
Bulgaria,9.2,4.5,5.0,22.4,20.0,62.9,1.6
New Zealand,9.0,4.0,4.3,25.1,23.3,67.6,1.5
Honduras,8.9,7.4,5.8,13.4,17.3,117.7,0.8
Mexico,8.4,7.8,7.4,12.7,13.5,104.6,1.0
United Kingdom,8.3,4.4,4.6,22.5,21.8,56.4,1.8
Norway,8.1,3.6,4.0,27.9,24.9,53.3,1.9
Iraq,8.1,6.5,7.9,15.4,12.7,89.7,1.1
Latvia,8.1,4.3,5.0,23.1,20.1,51.3,1.9
Malaysia,8.1,4.4,5.0,22.9,20.1,58.1,1.7
Finland,7.8,3.3,4.4,30.0,22.7,44.9,2.2
Spain,7.8,4.8,6.2,20.7,16.2,48.5,2.1
Australia,7.5,4.6,4.8,21.8,20.9,54.7,1.8
Jordan,7.4,5.8,6.7,17.2,14.8,72.5,1.4
Ireland,7.3,6.8,8.1,14.7,12.3,50.2,2.0
Netherlands,7.2,4.7,5.1,21.3,19.5,45.1,2.2
Iceland,7.0,5.4,6.0,18.6,16.5,57.1,1.8
Cyprus,6.8,9.4,10.2,10.7,9.8,44.2,2.3
Denmark,6.6,4.4,4.6,22.7,21.9,38.8,2.6
Belgium,6.5,4.7,4.8,21.1,20.7,39.0,2.6
Palestine,5.6,7.6,8.1,13.2,12.3,50.6,2.0
Qatar,5.3,7.7,7.8,13.0,12.9,38.4,2.6
Puerto Rico,4.5,10.9,9.4,9.2,10.6,34.8,2.9
United States,4.5,8.2,9.6,12.2,10.4,36.4,2.8
Oman,3.6,7.2,6.8,13.9,14.6,28.0,3.6
South Africa,3.4,9.9,11.2,10.1,8.9,36.0,2.8
Saudi Arabia,3.0,6.9,7.2,14.5,13.9,22.0,4.5
United Arab Emirates,3.0,12.2,10.4,8.2,9.6,20.8,4.8
