Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Papua New Guinea,93.0,6.0,17.7,16.8,5.6,1140.6,0.1
Cuba,77.6,25.6,13.7,3.9,7.3,564.4,0.2
Hong Kong,31.5,2.4,2.6,42.1,38.4,203.3,0.5
Ghana,29.8,10.9,14.4,9.2,7.0,745.6,0.1
Syria,29.1,4.1,3.1,24.4,32.6,271.1,0.4
Uganda,28.9,1.8,8.5,55.7,11.7,575.4,0.2
Taiwan,28.5,1.1,1.3,90.6,74.9,174.3,0.6
Vietnam,27.3,4.3,6.6,23.5,15.2,302.5,0.3
Macao,27.0,3.5,1.8,28.7,54.9,183.0,0.5
Ukraine,24.6,4.6,5.0,21.5,20.0,551.4,0.2
El Salvador,24.2,7.0,1.6,14.3,62.0,285.4,0.4
Singapore,23.9,2.7,3.2,37.4,31.4,147.9,0.7
Kenya,23.0,5.6,3.2,17.9,31.3,377.2,0.3
China,22.9,2.5,2.7,40.0,36.6,196.6,0.5
Myanmar,22.7,6.6,2.2,15.1,46.1,262.6,0.4
Mauritius,22.0,2.1,2.0,48.6,49.0,227.1,0.4
Peru,21.1,4.9,5.2,20.4,19.4,241.6,0.4
Cambodia,20.4,8.0,8.1,12.5,12.4,225.2,0.4
Indonesia,20.3,5.2,4.9,19.3,20.4,233.0,0.4
Algeria,20.2,2.7,3.5,36.8,28.5,154.1,0.6
Venezuela,20.0,8.1,13.7,12.3,7.3,397.0,0.3
Zimbabwe,19.5,7.9,2.5,12.7,40.1,376.5,0.3
Belarus,18.7,5.1,5.3,19.5,19.0,685.2,0.1
Philippines,18.6,2.8,2.6,36.2,38.8,191.4,0.5
Moldova,18.6,5.4,5.9,18.4,16.8,273.7,0.4
Azerbaijan,18.6,6.1,6.1,16.3,16.4,201.9,0.5
Thailand,18.2,4.1,3.4,24.2,29.4,159.0,0.6
Japan,17.7,1.8,2.1,56.3,47.7,105.9,0.9
Iran,17.1,6.1,6.5,16.5,15.3,405.4,0.2
Brazil,16.8,4.0,4.1,25.1,24.6,208.6,0.5
Uzbekistan,16.7,6.8,6.5,14.7,15.4,307.1,0.3
Nepal,16.7,3.3,2.9,30.4,34.6,194.9,0.5
Colombia,16.5,4.7,4.8,21.4,20.8,215.2,0.5
Montenegro,15.9,3.2,3.1,31.1,32.5,175.5,0.6
Serbia,15.6,2.9,3.1,34.0,32.0,139.7,0.7
Lebanon,15.5,4.2,5.7,23.6,17.5,138.0,0.7
Pakistan,15.5,3.1,3.1,32.2,32.0,224.2,0.4
North Macedonia,15.1,3.4,3.3,29.0,30.0,136.6,0.7
Morocco,15.0,4.7,3.9,21.3,25.8,126.8,0.8
Russia,14.8,5.9,6.0,17.0,16.6,222.0,0.5
Sri Lanka,14.6,7.9,4.5,12.7,22.0,218.2,0.5
Georgia,14.3,8.5,7.9,11.7,12.6,206.7,0.5
Kosovo (Disputed Territory),14.0,4.1,5.0,24.3,19.9,145.7,0.7
Albania,14.0,3.8,5.8,26.2,17.3,132.8,0.8
South Korea,13.9,2.2,3.5,45.0,28.5,106.2,0.9
Armenia,13.9,6.5,5.1,15.4,19.6,212.2,0.5
Dominican Republic,13.5,5.7,6.6,17.4,15.2,188.2,0.5
Ethiopia,13.0,16.0,10.1,6.2,9.9,145.4,0.7
Argentina,12.9,3.5,3.7,28.3,27.3,248.7,0.4
Lithuania,12.8,4.4,4.3,22.7,23.5,85.1,1.2
Ecuador,12.7,6.8,5.8,14.7,17.1,140.7,0.7
