Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Trinidad And Tobago,7.8,8.1,6.2,12.3,16.1,68.8,1.5
Canada,7.5,4.7,5.6,21.3,17.7,52.2,1.9
Ireland,7.4,6.1,6.9,16.4,14.5,51.8,1.9
Australia,7.4,4.3,4.3,23.3,23.2,52.9,1.9
Netherlands,7.4,5.4,5.6,18.5,17.9,45.4,2.2
Cyprus,7.1,6.8,7.0,14.7,14.2,46.7,2.1
Belgium,6.9,4.7,5.0,21.3,20.1,41.1,2.4
Denmark,6.7,4.3,4.5,23.4,22.1,39.2,2.5
Iceland,6.3,6.6,7.2,15.2,13.9,53.6,1.9
Qatar,6.0,7.5,7.3,13.4,13.8,46.2,2.2
Oman,5.8,5.4,4.8,18.5,20.7,44.3,2.3
United Arab Emirates,4.9,9.2,9.2,10.9,10.8,36.5,2.7
Palestine,4.7,7.7,8.2,13.1,12.2,46.3,2.2
United States,4.0,8.0,10.6,12.6,9.4,29.4,3.4
South Africa,4.0,8.3,10.7,12.0,9.4,46.1,2.2
Puerto Rico,3.6,8.7,8.5,11.5,11.8,27.9,3.6
Saudi Arabia,2.6,8.1,8.1,12.4,12.3,18.9,5.3
