Rank,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
El Salvador,32.3,5.4,1.0,18.4,100.4,432.4,0.2
Syria,30.5,3.7,4.0,26.7,25.0,332.9,0.3
Myanmar,30.2,10.5,4.1,9.5,24.2,357.8,0.3
Hong Kong,29.4,2.8,2.8,35.3,36.0,188.4,0.5
Venezuela,28.2,8.1,7.4,12.3,13.5,391.9,0.3
China,28.1,2.8,3.1,35.3,31.8,245.1,0.4
Macao,27.2,2.4,1.8,41.4,55.8,186.0,0.5
Uganda,25.4,1.8,9.8,54.6,10.3,401.1,0.2
Taiwan,24.1,1.4,2.2,72.9,46.1,146.8,0.7
Ghana,24.1,11.5,16.3,8.7,6.1,605.6,0.2
Thailand,21.8,4.3,3.5,23.1,28.9,188.6,0.5
Singapore,21.7,3.7,4.0,27.3,24.8,136.1,0.7
Iran,21.5,4.9,5.4,20.3,18.4,468.9,0.2
Cambodia,20.3,10.2,6.8,9.8,14.7,238.4,0.4
Nepal,20.3,2.8,2.8,36.3,36.3,250.1,0.4
Indonesia,20.2,5.7,5.2,17.4,19.4,226.0,0.4
Philippines,19.4,3.5,2.7,28.9,37.5,215.4,0.5
Vietnam,19.1,6.0,7.2,16.7,13.9,252.0,0.4
Lebanon,18.1,4.3,6.1,23.3,16.5,155.2,0.6
Moldova,17.4,5.2,5.6,19.2,17.7,264.4,0.4
Morocco,17.0,4.9,3.9,20.4,25.9,149.2,0.7
Armenia,16.7,6.3,6.0,15.9,16.8,246.8,0.4
Algeria,16.7,3.0,3.9,33.4,25.6,135.9,0.7
Ukraine,16.7,6.0,6.1,16.8,16.4,325.7,0.3
Belarus,16.7,5.1,5.2,19.6,19.4,551.2,0.2
Azerbaijan,16.6,8.5,9.9,11.7,10.1,210.1,0.5
Brazil,16.6,4.2,4.4,23.9,22.6,200.3,0.5
Serbia,16.4,3.0,3.3,33.1,29.9,153.9,0.6
Peru,16.0,5.0,6.2,19.9,16.0,185.0,0.5
Georgia,15.6,6.7,5.7,14.9,17.5,221.3,0.5
Montenegro,15.2,3.2,3.2,31.7,31.5,155.8,0.6
North Macedonia,15.1,3.5,3.6,28.9,27.8,151.3,0.7
Sri Lanka,14.9,7.5,3.7,13.3,26.9,239.6,0.4
Albania,14.9,3.5,5.1,28.5,19.5,144.0,0.7
Russia,14.7,7.0,6.6,14.3,15.2,210.7,0.5
Colombia,14.3,5.7,5.3,17.4,18.9,190.2,0.5
Ecuador,13.9,7.0,6.3,14.2,15.9,145.5,0.7
Ethiopia,13.9,12.9,11.8,7.8,8.5,155.1,0.6
Latvia,13.8,3.3,5.0,30.0,19.9,96.9,1.0
Pakistan,13.8,3.1,3.6,32.1,27.6,210.4,0.5
Uzbekistan,13.7,6.1,6.8,16.5,14.8,259.6,0.4
Mauritius,13.6,3.4,3.6,29.3,28.0,140.6,0.7
Angola,13.5,9.0,12.7,11.1,7.9,185.4,0.5
Croatia,13.3,2.9,3.3,34.0,30.4,119.4,0.8
Trinidad And Tobago,13.3,8.4,3.4,11.9,29.7,132.6,0.8
Lithuania,13.0,4.0,4.1,25.2,24.5,91.2,1.1
Romania,12.7,4.8,4.8,20.9,20.8,122.0,0.8
Nigeria,12.6,5.7,4.9,17.4,20.4,241.6,0.4
Bosnia And Herzegovina,12.4,3.1,3.2,32.3,30.9,121.1,0.8
Kazakhstan,12.4,6.6,6.5,15.2,15.4,183.6,0.5
South Korea,12.3,2.8,3.6,35.2,28.1,93.9,1.1
Kenya,12.3,10.2,7.1,9.8,14.1,224.3,0.4
Italy,11.6,2.9,3.7,34.3,27.2,93.9,1.1
Israel,11.6,3.3,3.7,29.9,26.7,76.3,1.3
Bolivia,11.4,6.5,5.6,15.5,17.8,109.8,0.9
Slovenia,11.2,3.7,3.8,27.0,26.6,87.2,1.1
Panama,11.1,12.1,7.1,8.2,14.1,93.8,1.1
Poland,11.1,4.4,4.7,22.7,21.3,89.9,1.1
Chile,10.9,4.4,4.9,22.6,20.3,87.5,1.1
Greece,10.9,3.4,3.4,29.3,29.6,85.3,1.2
Bangladesh,10.9,4.1,4.4,24.7,22.8,195.8,0.5
Uruguay,10.8,6.0,6.7,16.8,14.9,104.8,1.0
Egypt,10.8,7.6,8.0,13.2,12.5,125.1,0.8
Tunisia,10.7,5.6,6.0,17.8,16.6,110.3,0.9
Estonia,10.7,4.9,4.5,20.2,22.0,71.2,1.4
India,10.4,3.3,3.9,30.3,25.5,128.9,0.8
Spain,10.4,3.6,4.3,27.8,23.4,72.4,1.4
Czech Republic,10.3,4.0,4.7,25.1,21.3,71.4,1.4
France,10.3,2.9,3.7,34.1,27.1,72.1,1.4
Austria,10.2,3.0,3.6,33.5,27.5,69.7,1.4
Argentina,10.1,4.1,4.1,24.2,24.2,212.7,0.5
Dominican Republic,9.9,5.8,9.4,17.3,10.6,155.4,0.6
Sweden,9.7,2.6,3.1,38.5,31.9,66.2,1.5
Hungary,9.6,4.1,4.5,24.4,22.1,98.6,1.0
Bulgaria,9.5,5.5,6.0,18.3,16.7,95.8,1.0
Slovakia,9.5,6.0,6.1,16.8,16.5,70.6,1.4
Palestine,8.8,3.4,3.5,29.3,28.4,71.2,1.4
Zimbabwe,8.8,9.5,8.1,10.5,12.3,312.7,0.3
Portugal,8.7,5.6,6.3,17.8,16.0,64.9,1.5
Guatemala,8.4,8.4,9.6,11.9,10.4,95.6,1.0
Japan,8.3,4.2,3.5,23.7,28.2,50.6,2.0
Jordan,8.3,7.2,7.4,13.9,13.5,85.0,1.2
Luxembourg,8.3,4.9,4.5,20.5,22.0,51.2,2.0
Malaysia,8.3,4.8,4.5,21.0,22.1,64.6,1.5
Iraq,8.1,9.5,9.7,10.5,10.3,88.0,1.1
Bahrain,8.0,8.9,8.9,11.3,11.2,73.8,1.4
United Kingdom,7.8,4.7,4.9,21.3,20.4,57.6,1.7
Norway,7.8,4.5,4.9,22.4,20.3,55.2,1.8
