Country,Health_Care,Health_Exp.
Denmark,85.6,159.2
Thailand,85.4,158.1
Japan,85.0,156.0
France,82.3,152.3
Austria,79.7,147.3
South Korea,79.2,146.1
Taiwan,78.3,142.7
Belgium,78.0,143.1
New Zealand,77.8,142.3
Argentina,76.7,141.4
Sri Lanka,76.7,141.6
Estonia,76.3,140.2
Norway,75.7,139.8
Israel,75.4,138.8
Germany,75.3,138.3
Sweden,75.2,138.4
Spain,75.2,139.6
Jordan,74.1,136.0
Australia,73.6,134.5
United Kingdom,73.5,135.3
Canada,71.9,133.1
Hong Kong,71.8,131.5
Mexico,70.6,127.5
Philippines,69.8,125.6
Malaysia,69.4,126.1
Lithuania,69.3,126.7
Cyprus,68.7,122.9
Finland,68.7,123.7
United States,68.6,127.7
Colombia,68.5,122.7
Switzerland,68.0,128.1
Czech Republic,66.3,123.4
Kuwait,66.2,122.9
Netherlands,66.2,121.9
China,65.1,117.9
Italy,65.0,119.2
Latvia,65.0,122.2
Portugal,64.8,119.0
India,64.6,115.3
Costa Rica,63.9,114.5
Slovakia,63.5,115.6
Singapore,61.8,117.1
Albania,61.4,111.5
Slovenia,61.3,114.7
Egypt,61.3,109.5
United Arab Emirates,60.6,113.4
Indonesia,60.2,107.3
Kazakhstan,60.2,114.1
Puerto Rico,59.9,113.6
Uruguay,59.6,108.2
South Africa,59.4,107.7
Ecuador,59.4,110.5
Morocco,59.3,108.7
Greece,59.0,105.5
Chile,58.7,105.0
Bulgaria,58.0,106.1
Peru,57.6,103.7
Turkey,57.5,101.2
Montenegro,56.9,103.7
Croatia,55.9,103.4
Lebanon,55.4,101.5
Poland,54.8,100.2
Bosnia And Herzegovina,54.4,97.8
Serbia,54.4,97.3
Cambodia,53.8,97.4
Brazil,53.7,97.2
Bolivia,51.5,90.7
Saudi Arabia,50.4,90.3
Nigeria,50.4,93.2
Pakistan,50.4,88.5
Iran,48.6,85.3
Oman,48.1,87.2
Belarus,48.0,85.0
Romania,47.3,83.7
Ukraine,47.1,83.1
Hungary,46.6,83.8
Russia,43.5,75.0
Ireland,42.6,79.1
Venezuela,41.0,70.5
North Macedonia,33.1,61.1
Iraq,28.5,46.4
Mongolia,27.2,50.8
