Country,Health_Care,Health_Exp.
Taiwan,86.7,159.7
South Korea,82.0,149.9
Japan,81.1,148.2
Denmark,80.0,147.5
France,80.0,146.8
Spain,78.9,145.2
Austria,78.7,144.2
Thailand,77.9,142.0
Australia,77.4,141.0
Finland,75.8,138.0
Netherlands,74.6,136.0
Czech Republic,74.6,137.0
United Kingdom,74.5,136.6
Norway,74.4,135.7
Belgium,74.3,134.8
New Zealand,73.8,133.9
Germany,73.3,133.6
Qatar,73.3,133.1
Israel,73.3,134.3
Estonia,72.7,132.9
Sri Lanka,72.5,131.1
Switzerland,72.4,136.2
Portugal,71.9,130.8
Canada,71.6,131.4
Singapore,70.8,131.5
Ecuador,70.6,127.0
Mexico,70.1,125.7
Turkey,69.8,125.6
Lithuania,69.5,125.6
United States,69.3,127.3
Argentina,69.3,125.7
Sweden,69.2,126.9
Malta,68.8,123.4
Malaysia,68.1,122.5
Guatemala,67.8,121.2
Philippines,67.5,120.7
Colombia,67.2,120.6
India,67.1,120.5
United Arab Emirates,67.0,123.9
Italy,66.6,120.7
Uruguay,66.3,119.6
Hong Kong,66.1,119.7
Iceland,65.9,120.3
Chile,65.4,118.9
Jordan,64.6,116.1
Slovenia,64.6,118.9
China,64.5,115.5
Lebanon,64.4,120.0
South Africa,64.1,115.8
Latvia,62.9,113.0
Croatia,62.7,115.0
Costa Rica,62.4,112.7
Poland,61.0,109.4
Pakistan,60.6,107.3
Indonesia,60.5,107.3
Slovakia,60.0,108.6
Panama,59.9,106.1
Saudi Arabia,59.1,105.2
Belarus,59.0,105.4
Oman,58.2,103.7
Vietnam,57.7,100.7
Russia,57.6,101.6
Tunisia,57.2,100.6
Nepal,56.9,99.7
North Macedonia,56.4,100.5
Brazil,56.3,100.1
Greece,56.2,99.7
Kuwait,56.2,100.5
Peru,56.2,98.5
Puerto Rico,55.7,101.8
Kenya,55.6,98.0
Bulgaria,55.4,98.0
Romania,55.1,96.9
Algeria,54.9,99.6
Trinidad And Tobago,54.7,100.9
Dominican Republic,54.7,95.6
Albania,53.0,92.7
Ukraine,52.3,91.3
Bosnia And Herzegovina,52.3,93.3
Ireland,51.9,94.2
Cyprus,51.8,89.4
Iran,51.7,90.1
Nigeria,51.6,89.9
Serbia,51.3,92.2
Georgia,51.2,88.3
Kazakhstan,50.7,88.9
Hungary,47.8,86.2
Egypt,45.8,78.6
Morocco,45.7,77.9
Azerbaijan,43.2,75.0
Bangladesh,42.8,73.2
Iraq,41.4,70.2
Venezuela,39.7,69.1
