Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Bermuda,146.2,104.8,126.3,139.6,151.4,91.6
Switzerland,122.1,56.6,90.7,122.7,119.8,95.3
Iceland,111.7,46.5,80.5,103.9,119.7,77.6
Norway,106.3,39.9,74.5,98.3,117.1,105.6
Bahamas,104.0,40.6,73.6,103.5,90.0,34.8
Us Virgin Islands,85.9,37.2,62.6,75.4,81.1,95.8
Japan,85.3,27.6,57.6,89.9,47.8,102.5
Italy,83.7,21.5,53.9,73.9,76.2,71.8
Denmark,83.0,35.0,60.0,63.8,101.0,98.8
Singapore,82.4,70.2,76.6,71.7,58.3,92.7
New Zealand,80.8,33.8,58.3,73.1,77.5,89.9
Australia,80.7,42.5,62.4,76.9,77.1,101.9
Hong Kong,80.0,84.1,81.9,81.9,54.9,81.5
Israel,77.7,28.4,54.1,65.4,81.4,94.5
Luxembourg,77.3,49.9,64.2,65.9,87.3,97.4
Ireland,77.0,40.6,59.6,62.2,81.4,103.5
Sweden,75.9,26.9,52.4,67.9,78.3,107.2
United States,75.4,40.3,58.6,75.6,70.0,123.2
South Korea,75.4,22.0,49.8,88.5,44.6,102.4
Belgium,75.4,29.6,53.4,65.8,82.3,91.0
Kuwait,75.2,37.8,57.3,81.4,45.8,69.7
France,74.9,24.8,50.9,69.5,72.9,87.3
Finland,73.1,27.0,51.0,61.5,76.4,115.0
Netherlands,72.5,32.4,53.3,55.9,82.3,86.5
Austria,71.5,25.9,49.6,65.9,66.9,95.7
Uruguay,70.3,18.6,45.5,56.8,67.6,32.9
Canada,70.2,29.8,50.8,69.3,65.6,108.0
Puerto Rico,69.6,19.5,45.6,66.8,63.3,83.0
United Kingdom,69.5,31.0,51.0,55.8,76.8,96.9
Qatar,69.2,66.8,68.1,56.1,72.7,111.3
United Arab Emirates,68.0,68.8,68.4,55.4,63.9,116.8
Germany,65.5,25.4,46.3,50.1,62.6,124.9
Malta,62.8,23.2,43.8,52.8,66.9,68.1
Macao,62.6,39.0,51.3,56.3,48.6,86.4
Lebanon,61.7,30.9,46.9,46.9,60.2,53.6
