Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Saudi Arabia,46.6,11.8,30.1,37.5,31.3,130.4
Namibia,45.5,18.3,32.6,40.4,40.6,60.3
Slovakia,45.4,17.1,32.0,37.4,34.1,66.5
Cuba,45.4,8.9,28.1,31.1,25.8,2.2
Dominican Republic,45.1,10.2,28.6,35.0,41.8,28.8
Ethiopia,44.9,27.4,36.6,34.3,19.4,14.7
El Salvador,44.6,14.1,30.2,41.2,35.5,32.6
Thailand,44.6,17.1,31.6,45.7,23.1,44.0
Czech Republic,44.5,18.7,32.3,36.2,33.0,77.6
Nicaragua,44.5,10.0,28.1,43.4,31.1,27.4
Cambodia,44.4,13.4,29.7,42.0,22.2,13.9
Guatemala,43.4,14.5,29.7,37.9,35.0,40.4
Ecuador,42.4,11.9,28.0,37.4,29.6,41.2
South Africa,42.1,16.5,30.0,33.0,41.5,91.4
Honduras,41.7,10.6,27.0,32.0,32.0,37.6
Hungary,41.3,14.1,28.5,30.8,32.4,56.7
Iraq,40.9,12.1,27.3,33.2,35.6,48.0
Malaysia,40.7,11.7,27.0,40.4,22.2,76.3
Brazil,40.5,11.9,27.0,28.6,33.2,40.7
China,40.3,17.6,29.6,39.5,29.1,74.2
Montenegro,40.0,9.9,25.7,29.7,35.1,48.6
Tanzania,39.6,16.8,28.8,29.2,28.1,25.3
Poland,38.7,15.5,27.7,28.9,33.1,75.2
Peru,38.3,13.5,26.6,32.6,25.2,39.3
Kenya,38.3,9.9,24.8,33.7,31.6,33.7
Bulgaria,37.8,10.1,24.7,30.1,31.0,57.2
Vietnam,36.9,13.6,25.9,35.0,19.1,35.6
Russia,36.7,14.5,26.2,28.2,39.3,52.1
Romania,36.7,10.7,24.4,28.7,32.7,63.8
Argentina,36.4,10.5,24.2,27.4,36.6,61.5
Indonesia,36.2,8.8,23.2,36.6,17.9,35.0
Serbia,36.1,8.4,23.0,25.6,27.8,43.1
Bosnia And Herzegovina,36.0,6.7,22.1,28.1,24.5,52.1
Turkey,35.5,8.7,22.8,29.1,25.8,53.2
Albania,35.3,7.9,22.3,27.0,28.6,36.8
Sri Lanka,33.9,8.8,22.0,35.1,19.9,28.9
Morocco,33.6,10.0,22.4,28.4,24.0,45.5
Moldova,33.4,8.1,21.4,24.7,30.1,30.9
Bolivia,33.2,10.8,22.6,25.1,25.9,46.5
Armenia,32.9,9.4,21.8,25.4,33.0,32.7
Philippines,32.8,7.4,20.8,29.8,19.1,31.8
Colombia,32.6,10.0,21.9,25.3,24.7,38.0
Kazakhstan,32.3,10.7,22.0,24.6,33.3,39.1
Nigeria,32.2,25.7,29.2,29.5,19.4,18.6
Belarus,32.0,10.1,21.7,25.6,32.8,44.3
North Macedonia,31.5,6.6,19.7,24.3,23.0,41.6
Iran,30.9,15.0,23.4,26.1,25.4,44.3
Mexico,30.5,9.5,20.6,27.4,27.2,53.9
Bangladesh,30.2,5.3,18.4,26.6,19.9,41.7
Georgia,30.1,9.6,20.4,23.9,28.5,37.4
Algeria,29.8,5.5,18.3,30.1,16.5,35.8
Nepal,29.6,4.3,17.6,24.4,18.2,28.0
Azerbaijan,29.0,9.0,19.5,24.0,30.8,34.0
Uganda,29.0,7.8,18.9,24.1,20.9,25.3
Venezuela,27.6,7.0,17.9,28.0,23.2,4.3
Ukraine,27.1,9.7,18.9,20.4,20.6,34.3
Kosovo (Disputed Territory),26.7,7.7,17.7,22.6,19.9,61.4
Egypt,24.7,4.7,15.2,21.0,20.6,25.3
Tunisia,24.5,5.5,15.5,21.9,14.9,38.9
India,23.8,6.5,15.6,22.6,17.1,77.7
Pakistan,22.2,5.1,14.1,19.3,16.5,41.6
