Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Switzerland,120.0,51.0,87.3,115.0,122.6,130.1
Iceland,112.6,54.0,84.9,99.6,125.9,93.2
Norway,104.1,40.5,74.0,91.0,115.4,109.7
Luxembourg,86.4,58.9,73.4,70.9,99.5,109.8
Denmark,82.7,33.5,59.4,61.8,97.8,118.8
Singapore,80.4,60.4,70.9,66.8,59.4,99.2
Japan,79.9,26.7,54.7,76.3,47.2,108.4
Ireland,77.1,47.6,63.1,57.9,84.8,95.4
South Korea,76.6,23.6,51.5,86.9,45.3,107.7
Netherlands,75.9,34.9,56.5,57.6,85.4,108.3
Israel,74.9,30.6,53.9,59.2,83.9,98.1
France,74.8,26.9,52.1,65.5,75.2,99.7
Hong Kong,74.7,78.3,76.4,74.9,54.0,76.5
Belgium,74.4,26.5,51.7,60.4,85.9,99.3
Australia,73.9,37.6,56.7,66.2,73.1,128.6
Finland,72.7,27.0,51.1,57.1,77.9,120.0
New Zealand,72.4,32.0,53.3,62.5,69.6,101.9
Austria,72.3,27.2,50.9,63.8,69.7,103.8
Sweden,70.4,26.4,49.6,59.3,75.2,120.9
Italy,69.7,22.0,47.1,56.4,77.7,86.8
United States,69.0,38.5,54.5,65.1,67.6,129.4
Germany,67.9,27.7,48.9,51.9,65.4,123.3
United Kingdom,67.2,31.0,50.0,51.4,75.6,112.9
Maldives,66.4,31.2,49.7,69.0,37.3,28.9
Canada,64.5,29.6,48.0,59.4,61.5,116.0
Puerto Rico,64.2,18.1,42.4,59.8,57.7,101.1
Malta,63.6,28.9,47.2,49.5,68.9,64.9
Qatar,62.6,55.8,59.4,51.3,60.1,142.7
Taiwan,59.7,17.2,39.6,66.4,27.0,102.1
Uruguay,58.6,17.5,39.2,44.9,59.1,44.1
Greece,57.6,11.3,35.7,43.0,56.6,53.2
Lebanon,57.2,28.5,43.6,40.5,57.3,58.9
Bahrain,56.1,29.3,43.4,49.5,52.4,80.6
Spain,55.4,21.9,39.5,42.8,55.6,90.4
Jamaica,55.4,14.2,35.9,50.3,37.4,36.1
Cyprus,55.0,17.2,37.1,42.0,61.4,83.8
United Arab Emirates,54.6,47.6,51.3,40.9,52.5,142.3
Ghana,54.0,33.4,44.2,45.6,33.7,19.6
Kuwait,53.2,34.5,44.4,40.2,47.7,105.4
Slovenia,52.9,15.1,35.0,42.0,45.1,81.3
Costa Rica,52.9,17.3,36.1,48.6,44.9,52.5
Jordan,52.5,11.2,33.0,40.8,51.2,46.4
Trinidad And Tobago,52.4,17.8,36.0,47.9,46.9,57.5
Fiji,52.1,26.1,39.8,53.3,37.5,34.7
Estonia,51.6,15.8,34.7,36.8,49.6,77.4
Portugal,50.6,20.8,36.5,38.9,43.2,60.0
Panama,50.5,26.1,39.0,46.3,46.0,43.5
Palestine,50.3,8.5,30.5,42.8,38.6,61.4
Mauritius,50.2,12.7,32.5,42.3,40.7,43.4
Croatia,50.1,11.4,31.7,39.3,40.3,62.2
Belize,50.0,9.9,31.0,43.3,34.2,91.0
Latvia,49.4,12.4,31.9,35.8,43.7,55.7
Chile,48.2,15.8,32.9,39.6,46.3,54.5
Zimbabwe,47.6,11.6,30.6,38.8,38.7,27.8
Oman,47.2,20.7,34.7,40.9,44.7,93.4
Lithuania,46.9,14.1,31.4,34.5,45.2,60.6
