Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Switzerland,126.0,57.6,92.6,128.4,127.6,146.5
Norway,118.6,48.7,84.4,110.1,141.5,96.3
Venezuela,111.0,34.1,73.4,128.4,91.1,11.9
Iceland,102.1,35.9,69.8,103.8,105.2,70.8
Denmark,100.6,34.7,68.4,88.6,117.5,105.7
Australia,99.3,49.5,75.0,94.3,90.6,110.4
New Zealand,93.7,35.8,65.4,92.5,86.3,91.0
Singapore,93.6,84.6,89.2,81.5,59.5,75.4
Kuwait,93.0,40.9,67.5,118.4,54.6,85.7
United Kingdom,92.2,39.2,66.3,84.6,96.0,98.1
Ireland,92.1,37.5,65.4,85.1,91.6,95.7
Luxembourg,91.8,62.3,77.4,77.1,110.6,114.7
Finland,89.7,29.9,60.5,84.3,92.4,101.2
France,88.4,31.1,60.4,85.3,91.1,92.6
Belgium,87.2,31.0,59.7,79.5,95.9,86.2
Netherlands,86.0,35.5,61.3,66.8,102.1,102.0
Sweden,82.9,27.5,55.8,78.7,90.0,110.9
South Korea,82.9,35.6,59.8,98.1,52.5,85.8
Italy,82.7,25.7,54.9,71.4,93.1,79.4
Canada,81.8,33.1,58.0,87.4,74.1,105.1
Japan,80.4,29.7,55.6,82.7,50.5,98.2
Israel,79.3,30.3,55.3,69.2,85.3,88.2
Austria,76.9,29.2,53.6,73.6,70.4,104.6
United States,76.5,36.2,56.8,81.8,68.1,126.1
Germany,76.3,27.2,52.3,64.9,72.5,111.8
Hong Kong,75.2,81.1,78.1,79.5,53.8,74.9
Qatar,74.0,76.3,75.1,65.4,78.1,113.0
Puerto Rico,73.5,19.7,47.2,76.4,63.6,94.4
Cyprus,72.5,16.2,45.0,66.1,75.2,71.0
Ghana,71.8,54.2,63.2,73.4,59.1,14.2
Greece,68.9,11.9,41.0,58.2,70.0,51.9
Malta,68.8,18.3,44.1,58.1,75.9,72.5
Belize,68.7,11.4,40.7,63.9,42.5,120.0
Uruguay,68.6,21.8,45.7,60.6,64.6,44.9
Lebanon,67.6,31.7,50.1,51.6,67.4,50.2
