Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Norway,151.3,55.5,116.8,142.4,150.2,92.6
Switzerland,141.3,58.5,111.5,130.5,123.1,127.5
Japan,134.2,54.2,105.4,118.0,84.3,79.9
Monaco,128.2,173.1,144.3,89.8,138.1,62.3
Australia,123.0,58.8,99.9,113.7,109.0,109.5
Denmark,116.5,41.3,89.4,94.1,130.7,102.0
Belgium,108.7,35.0,82.2,86.0,107.5,90.4
Ireland,107.8,38.1,82.7,97.1,106.1,89.6
Netherlands,104.5,41.2,81.7,69.6,104.4,95.2
Iceland,103.6,32.7,78.1,97.7,92.2,78.6
Sweden,101.9,29.4,75.8,85.3,101.5,100.7
New Zealand,101.7,31.7,76.5,95.6,86.5,85.4
United Kingdom,100.1,37.9,77.7,83.7,94.1,88.3
Finland,99.7,36.5,76.9,82.3,96.9,98.1
Bahrain,99.5,37.5,77.2,150.5,86.9,52.8
France,98.2,35.9,75.8,83.0,94.9,92.7
Canada,98.0,38.3,76.6,93.8,83.2,108.2
Kuwait,96.2,30.8,72.7,73.5,137.4,70.0
Singapore,96.1,90.7,94.1,82.8,65.1,93.3
Israel,95.5,32.1,72.6,77.3,89.5,75.0
Austria,94.8,34.3,73.1,85.1,76.6,98.3
Italy,94.8,34.3,73.0,76.0,95.4,68.6
Saudi Arabia,93.4,18.0,66.3,135.5,39.6,82.1
Greece,93.1,18.9,66.4,69.8,91.2,48.3
Cyprus,89.5,22.4,65.4,74.6,92.2,77.0
Germany,88.6,28.9,67.1,72.1,76.2,114.4
Lebanon,86.1,37.0,68.4,45.3,69.6,24.4
Hong Kong,84.4,97.0,88.9,80.5,69.0,84.3
Qatar,84.3,63.5,76.8,81.6,72.9,153.6
Puerto Rico,84.3,28.1,64.1,81.8,64.6,78.2
Brazil,83.7,25.6,62.8,57.8,57.0,32.8
Malta,83.2,19.5,60.2,70.8,69.1,91.7
United States,83.1,37.4,66.6,77.6,68.7,116.5
Uruguay,83.0,25.3,62.2,66.0,68.8,29.4
United Arab Emirates,82.0,66.9,76.5,66.2,80.5,125.9
Spain,80.2,27.3,61.2,59.0,74.8,88.0
South Africa,75.6,25.4,57.5,59.7,56.3,92.5
Slovenia,74.3,25.7,56.8,64.7,58.0,57.9
Morocco,71.9,26.6,55.6,61.4,41.7,16.7
Azerbaijan,71.2,41.0,60.4,53.2,68.2,26.4
Kazakhstan,70.8,31.8,56.8,49.6,54.7,24.5
Portugal,70.8,23.0,53.6,56.2,52.2,56.0
South Korea,68.6,27.8,53.9,70.7,48.2,108.6
Costa Rica,68.4,23.0,52.1,67.0,52.9,46.3
Latvia,67.8,14.3,48.5,51.3,63.6,35.0
Croatia,67.5,13.9,48.2,56.0,52.4,50.1
Chile,67.4,19.8,50.3,54.2,54.3,47.1
Estonia,66.9,15.1,48.3,51.3,58.7,47.8
Turkey,65.3,15.5,47.4,47.3,48.2,52.6
Russia,64.8,23.8,50.1,49.7,67.5,43.9
Argentina,63.1,19.2,47.3,52.4,54.4,41.7
Taiwan,62.9,18.7,47.0,75.3,35.6,74.9
Armenia,62.8,19.6,47.2,38.4,53.2,20.7
Montenegro,62.2,17.2,46.0,49.1,55.9,38.9
Lithuania,62.1,14.8,45.1,53.0,41.8,33.6
Czech Republic,61.4,21.3,47.0,49.0,40.9,61.9
Jordan,60.4,13.3,43.5,54.9,48.2,37.0
Colombia,60.0,16.6,44.4,50.2,38.8,29.3
Hungary,59.7,12.7,42.7,44.6,43.6,36.8
Slovakia,59.3,23.0,46.2,49.2,40.0,49.2
Georgia,56.1,15.3,41.4,40.9,49.1,29.4
Peru,55.1,15.7,40.9,41.9,36.2,36.0
Mexico,55.1,14.0,40.3,48.5,43.2,59.0
Malaysia,54.9,12.8,39.7,53.7,31.1,74.1
Iran,54.8,25.2,44.2,53.9,42.2,46.2
Tunisia,54.5,9.9,38.4,45.7,40.4,32.4
Panama,54.0,25.3,43.7,48.9,37.7,40.9
Mongolia,53.9,24.0,43.1,57.9,37.8,22.6
Indonesia,51.4,17.2,39.1,57.9,30.1,18.3
Ukraine,51.1,14.9,38.1,38.4,46.1,25.6
Bulgaria,50.9,12.3,37.0,42.0,33.0,33.8
Ecuador,50.8,12.4,37.0,46.6,29.0,26.0
Bosnia And Herzegovina,50.8,8.4,35.5,41.1,39.6,44.4
Serbia,50.5,11.9,36.6,36.5,40.3,31.3
Syria,50.2,12.8,36.8,37.7,33.1,23.6
Thailand,50.2,17.6,38.4,65.5,27.4,32.0
Poland,49.7,16.9,37.9,39.4,38.4,59.2
Egypt,49.6,16.0,37.5,43.4,44.8,28.2
China,48.8,19.7,38.3,53.7,33.6,30.3
Nicaragua,48.3,10.7,34.8,47.5,34.6,42.6
Romania,47.9,12.2,35.0,39.8,35.3,34.3
Moldova,47.8,12.3,35.0,38.6,40.3,27.6
Belarus,45.6,10.6,33.0,33.8,52.8,23.6
Nepal,44.3,4.9,30.1,36.1,30.2,24.5
Philippines,43.6,11.0,31.9,43.1,23.8,29.0
Vietnam,42.9,33.0,39.3,45.3,26.7,28.0
North Macedonia,42.8,9.5,30.8,33.6,31.6,35.2
Algeria,40.6,8.3,29.0,43.6,25.6,27.5
Pakistan,36.2,6.8,25.6,31.5,29.1,28.3
India,33.4,8.4,24.4,33.8,21.1,60.1
