Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Norway,161.3,71.6,121.2,169.8,162.6,69.1
Denmark,138.9,83.5,114.1,116.6,159.1,74.1
Netherlands,123.6,61.7,95.9,78.4,114.5,68.5
France,123.5,67.2,98.4,101.0,132.9,70.5
Switzerland,121.4,92.4,108.4,132.2,117.7,137.9
Belgium,120.0,71.1,98.2,109.4,110.9,88.3
Ireland,119.8,71.1,98.0,148.0,118.1,99.4
Italy,115.4,63.7,92.3,94.5,113.3,51.0
Finland,111.1,50.7,84.1,100.2,108.1,106.6
United Kingdom,107.4,65.2,88.5,94.4,96.9,87.6
Austria,107.3,59.6,86.0,96.4,87.5,89.6
Germany,105.5,38.4,75.5,93.6,85.3,106.8
Sweden,104.2,32.4,72.1,98.1,89.6,113.4
Australia,100.5,52.7,79.2,101.9,82.2,114.4
Cyprus,94.1,36.5,68.3,83.2,91.3,97.7
Spain,91.3,45.8,71.0,67.4,82.2,52.1
Israel,89.7,55.4,74.4,93.6,78.2,51.4
South Korea,88.6,42.1,67.8,124.0,79.4,85.2
United States,88.5,49.6,71.1,85.0,71.1,114.8
Japan,86.7,55.2,72.6,100.5,66.9,97.8
Canada,86.0,52.1,70.8,96.0,64.7,96.0
Portugal,84.7,32.5,61.4,49.1,64.8,48.5
United Arab Emirates,83.8,91.0,87.0,64.2,108.5,70.1
Croatia,80.7,33.7,59.7,75.4,63.6,45.9
Greece,77.0,32.4,57.1,76.2,78.7,61.3
Slovenia,76.0,45.1,62.2,63.7,62.5,54.4
Brazil,73.8,31.3,54.8,54.7,48.5,59.3
Czech Republic,72.1,41.6,58.5,62.9,58.4,54.4
Latvia,68.2,31.8,51.9,37.4,50.9,38.3
Chile,67.5,19.7,46.1,55.4,41.6,53.3
Singapore,65.9,71.8,68.6,100.3,56.4,76.8
Jordan,65.6,26.4,48.1,88.2,65.2,22.1
Hong Kong,64.7,58.5,61.9,93.3,50.9,53.2
Hungary,64.4,21.1,45.1,53.3,48.0,32.5
Serbia,62.4,24.3,45.3,49.3,60.6,35.2
Montenegro,61.1,11.8,39.1,53.8,59.2,29.7
Albania,60.5,13.2,39.4,51.3,52.3,27.4
Bulgaria,59.8,24.9,44.2,51.3,48.1,31.5
South Africa,59.4,35.3,48.7,50.9,43.3,57.8
Russia,59.0,52.2,56.0,39.6,64.1,36.3
Venezuela,58.9,46.9,53.6,26.9,65.2,36.2
Turkey,56.9,23.7,42.0,53.7,39.9,62.2
Bahrain,55.0,73.5,63.2,68.3,68.4,56.0
Colombia,54.1,14.4,36.3,53.3,34.7,32.5
Iran,53.9,70.2,61.2,59.6,31.2,38.0
Paraguay,53.6,11.2,34.7,40.5,31.9,19.5
Argentina,53.2,21.2,38.9,34.5,48.0,40.6
Poland,52.6,30.7,42.8,42.6,44.9,52.2
Bosnia And Herzegovina,51.2,7.9,31.8,53.6,38.8,31.3
Lithuania,50.1,28.7,40.5,57.4,36.3,43.3
Mexico,49.7,22.9,37.7,46.0,41.0,51.4
Romania,45.7,27.5,37.5,41.4,41.2,24.3
Ecuador,45.7,19.1,33.8,47.4,28.3,37.9
Belarus,43.0,27.9,36.3,43.7,44.5,12.8
China,40.1,26.1,33.8,65.0,29.5,36.8
Indonesia,38.6,21.2,30.8,45.6,35.2,20.4
Bolivia,38.0,19.4,29.7,26.4,32.9,43.1
Malaysia,37.5,13.9,27.0,51.0,31.4,61.7
Thailand,36.6,21.6,29.9,51.3,28.2,30.8
Pakistan,32.4,9.7,22.2,35.3,30.9,37.4
Ukraine,31.4,23.0,27.6,23.7,36.2,40.0
India,28.7,9.6,20.2,31.0,23.9,43.6
