Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Nepal,29.6,4.6,17.6,25.4,19.7,26.3
Azerbaijan,29.1,8.7,19.3,24.1,30.7,32.0
Georgia,28.8,8.5,19.1,23.4,27.1,33.2
Ukraine,27.9,9.5,19.1,22.5,22.1,32.7
Uzbekistan,27.1,8.3,18.1,23.9,21.1,25.1
Egypt,26.5,5.0,16.2,23.2,22.3,23.7
Kosovo (Disputed Territory),26.2,8.1,17.5,23.2,19.6,61.8
Venezuela,25.7,5.9,16.2,27.6,22.0,3.7
India,24.2,5.8,15.4,24.2,17.2,66.9
Tunisia,23.7,5.0,14.7,22.3,13.3,38.0
Pakistan,20.4,4.5,12.8,18.2,15.4,38.6
