Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Ireland,126.1,85.9,110.1,154.5,131.6,59.8
Netherlands,123.8,71.9,103.2,90.1,108.5,41.6
France,120.9,77.7,103.8,115.4,118.3,45.5
Belgium,117.5,78.8,102.2,110.9,107.6,55.6
Sweden,112.5,33.3,81.1,99.0,85.2,62.8
Austria,110.4,66.0,92.8,97.7,84.8,54.4
Germany,109.9,40.0,82.1,92.6,89.3,74.0
Israel,106.8,58.8,87.8,110.5,67.2,42.5
Italy,105.8,77.9,94.7,99.1,102.0,41.8
South Korea,102.1,34.7,75.4,150.0,102.7,38.5
United Kingdom,100.2,71.8,88.9,93.3,97.2,66.3
United States,91.7,58.0,78.3,83.7,80.2,98.0
Portugal,89.0,36.4,68.1,51.1,60.3,41.2
Australia,83.3,48.2,69.4,98.9,76.7,120.0
Canada,82.3,61.5,74.0,99.7,65.0,74.7
Chile,79.9,22.1,56.9,55.4,40.8,40.4
Greece,77.4,37.0,61.4,74.5,78.1,38.3
Singapore,74.7,107.6,87.7,110.8,91.1,56.1
Hong Kong,74.5,56.2,67.2,95.1,88.7,45.8
Czech Republic,74.2,46.2,63.1,63.8,54.7,33.0
Brazil,70.5,37.2,57.3,73.6,51.8,47.1
Latvia,68.8,43.5,58.8,37.9,49.3,22.2
Jordan,66.4,19.7,47.9,88.7,62.0,15.9
South Africa,64.7,44.6,56.8,53.3,40.8,54.2
Serbia,62.7,29.3,49.4,51.6,60.4,25.1
Hungary,62.1,28.8,48.9,50.3,43.3,32.0
Colombia,58.5,19.9,43.2,61.0,44.3,28.4
Bahrain,58.0,82.4,67.7,70.1,67.2,49.0
Mexico,54.2,22.4,41.6,40.0,48.7,42.9
Poland,53.5,34.8,46.1,40.7,44.6,26.9
Bosnia And Herzegovina,49.6,13.1,35.1,58.8,36.0,18.6
Bolivia,46.7,21.8,36.8,27.1,37.2,32.5
China,43.5,25.1,36.2,58.4,35.2,35.0
Thailand,39.9,24.5,33.8,53.3,25.3,33.4
India,38.5,10.5,27.4,34.0,29.5,41.4
Ukraine,35.7,28.8,33.0,27.2,37.1,30.3
