Country,Crime,Safety
Venezuela,82.1,17.9
Papua New Guinea,80.4,19.6
Afghanistan,78.4,21.6
Haiti,78.3,21.7
South Africa,75.5,24.5
Honduras,74.3,25.7
Trinidad And Tobago,70.8,29.2
Syria,69.1,30.9
Guyana,68.8,31.2
Jamaica,67.5,32.5
Peru,67.5,32.5
Somalia,66.7,33.3
Brazil,66.1,33.9
Nigeria,65.8,34.2
Angola,65.8,34.2
Namibia,64.6,35.4
Cameroon,64.2,35.8
Argentina,64.0,36.0
Mozambique,63.7,36.3
Bangladesh,62.5,37.5
El Salvador,62.1,37.9
Bolivia,62.0,38.0
Puerto Rico,61.7,38.3
Us Virgin Islands,61.2,38.8
Dominican Republic,61.1,38.9
Colombia,60.8,39.2
Ecuador,60.7,39.3
Zimbabwe,60.6,39.4
Libya,60.4,39.6
Bahamas,60.3,39.7
Guatemala,60.1,39.9
Chile,58.7,41.3
Ivory Coast,57.5,42.5
Kenya,56.8,43.2
Fiji,56.7,43.3
Uganda,55.9,44.1
Maldives,55.2,44.8
France,54.6,45.4
Tanzania,54.4,45.6
Mexico,54.1,45.9
Kyrgyzstan,53.9,46.1
Costa Rica,53.7,46.3
Mongolia,53.5,46.5
Cambodia,53.0,47.0
Botswana,52.6,47.4
Belize,52.3,47.7
Uruguay,51.9,48.1
Malaysia,51.6,48.4
Belarus,51.4,48.6
Algeria,51.4,48.6
Ethiopia,51.4,48.6
North Korea,50.7,49.3
Paraguay,50.6,49.4
Nicaragua,50.2,49.8
Myanmar,50.0,50.0
Iran,49.8,50.2
United States,49.2,50.8
Belgium,48.9,51.1
Sweden,48.1,51.9
Mauritius,48.1,51.9
Zambia,47.9,52.1
Italy,47.3,52.7
New Zealand,47.1,52.9
Morocco,47.1,52.9
Egypt,47.0,53.0
United Kingdom,46.9,53.1
Ukraine,46.8,53.2
Australia,46.7,53.3
Barbados,46.6,53.4
Greece,46.5,53.5
Lebanon,46.5,53.5
Kazakhstan,46.4,53.6
Ireland,46.1,53.9
Iraq,46.0,54.0
Indonesia,45.9,54.1
Moldova,45.7,54.3
Sudan,45.5,54.5
Albania,45.4,54.6
Canada,44.8,55.2
Tunisia,44.7,55.3
India,44.4,55.6
Ghana,44.1,55.9
Panama,44.1,55.9
Vietnam,44.1,55.9
Pakistan,42.8,57.2
Philippines,42.6,57.4
Bosnia And Herzegovina,42.5,57.5
Sri Lanka,42.2,57.8
Palestine,41.2,58.8
Jordan,40.7,59.3
North Macedonia,40.7,59.3
Kosovo (Disputed Territory),40.2,59.8
Turkey,40.2,59.8
Malta,40.0,60.0
Russia,39.7,60.3
Serbia,38.5,61.5
Thailand,38.3,61.7
Germany,38.0,62.0
Nepal,37.5,62.5
Bulgaria,37.5,62.5
Latvia,37.3,62.7
Montenegro,36.9,63.1
Spain,35.8,64.2
Luxembourg,34.0,66.0
Hungary,33.8,66.2
Lithuania,33.2,66.8
Romania,32.8,67.2
Kuwait,32.6,67.4
Cyprus,32.6,67.4
Norway,32.5,67.5
Israel,32.2,67.8
Cuba,32.2,67.8
Azerbaijan,31.7,68.3
Slovakia,31.3,68.7
Uzbekistan,31.3,68.7
Portugal,30.7,69.3
Poland,29.2,70.8
Brunei,29.2,70.8
Austria,27.6,72.4
Rwanda,27.3,72.7
Czech Republic,26.8,73.2
Denmark,26.6,73.4
Finland,26.5,73.5
Georgia,26.2,73.8
Netherlands,26.2,73.8
Croatia,26.1,73.9
China,25.8,74.2
South Korea,25.3,74.7
Iceland,25.0,75.0
Switzerland,24.9,75.1
Monaco,24.7,75.3
Estonia,24.5,75.5
Saudi Arabia,24.3,75.7
Slovenia,24.2,75.8
Bahrain,24.2,75.8
Singapore,23.1,76.9
Japan,22.9,77.1
Hong Kong (China),21.7,78.3
Armenia,21.6,78.4
Oman,19.6,80.4
Isle Of Man,17.9,82.1
Taiwan,16.1,83.9
United Arab Emirates,14.6,85.4
Qatar,14.3,85.7
