Country,Crime,Safety
Venezuela,82.4,17.6
Papua New Guinea,79.5,20.5
Honduras,79.1,20.9
South Africa,76.1,23.9
Trinidad And Tobago,74.2,25.8
Brazil,70.3,29.7
El Salvador,68.4,31.6
Namibia,68.1,31.9
Jamaica,66.5,33.5
Afghanistan,66.1,33.9
Bangladesh,65.7,34.3
Peru,65.0,35.0
Puerto Rico,64.6,35.4
Kenya,63.6,36.4
Dominican Republic,62.7,37.3
Syria,62.5,37.5
Argentina,61.9,38.1
Mongolia,61.7,38.3
Nigeria,61.5,38.5
Malaysia,61.2,38.8
Tanzania,60.4,39.6
Libya,57.7,42.3
Guatemala,56.5,43.5
Somalia,54.7,45.3
Costa Rica,54.7,45.3
Bolivia,54.0,46.0
Maldives,52.9,47.1
Zimbabwe,52.8,47.2
Egypt,52.4,47.6
Mexico,52.1,47.9
Uruguay,51.8,48.2
Cambodia,51.5,48.5
Algeria,50.8,49.2
Colombia,50.8,49.2
Vietnam,50.5,49.5
Ukraine,50.0,50.0
Sweden,49.9,50.1
Ghana,49.8,50.2
Iran,49.4,50.6
Kazakhstan,49.4,50.6
Morocco,49.0,51.0
Ecuador,48.7,51.3
China,48.7,51.3
Thailand,48.4,51.6
Ethiopia,48.2,51.8
Pakistan,47.9,52.1
United States,47.0,53.0
Mauritius,47.0,53.0
Panama,46.7,53.3
Lebanon,46.6,53.4
Chile,46.0,54.0
France,46.0,54.0
Indonesia,45.6,54.4
Italy,45.2,54.8
Bosnia And Herzegovina,44.7,55.3
Moldova,44.6,55.4
Ireland,44.0,56.0
Russia,43.6,56.4
Jordan,43.5,56.5
Iraq,43.4,56.6
India,43.2,56.8
Sri Lanka,42.3,57.7
Australia,42.2,57.8
United Kingdom,41.6,58.4
Belgium,41.5,58.5
Tunisia,41.2,58.8
Palestine,41.2,58.8
Turkey,40.7,59.3
Philippines,40.4,59.6
Bulgaria,40.3,59.7
Albania,40.0,60.0
North Macedonia,39.9,60.1
New Zealand,39.9,60.1
Canada,39.2,60.8
Montenegro,38.8,61.2
Greece,38.8,61.2
Norway,38.4,61.6
Serbia,38.4,61.6
Latvia,37.9,62.1
Kuwait,37.4,62.6
Israel,37.3,62.7
Nepal,36.9,63.1
South Korea,36.9,63.1
Lithuania,36.9,63.1
Saudi Arabia,36.9,63.1
Spain,36.8,63.2
Germany,36.2,63.8
Hungary,35.9,64.1
Bahrain,35.9,64.1
Poland,35.5,64.5
Portugal,33.8,66.2
Azerbaijan,32.2,67.8
Malta,31.7,68.3
Luxembourg,30.6,69.4
Cyprus,30.4,69.6
Slovakia,30.0,70.0
Romania,28.5,71.5
Netherlands,28.2,71.8
Czech Republic,27.9,72.1
Croatia,26.9,73.1
Belarus,26.2,73.8
Oman,26.2,73.8
Armenia,24.6,75.4
Slovenia,24.4,75.6
Iceland,23.6,76.4
Denmark,22.7,77.3
Finland,22.6,77.4
Switzerland,22.1,77.9
Hong Kong,22.0,78.0
Austria,21.5,78.5
Taiwan,21.4,78.6
Estonia,20.3,79.7
Georgia,20.1,79.9
United Arab Emirates,17.5,82.5
Singapore,15.6,84.4
Qatar,14.1,85.9
Japan,12.7,87.3
