Country,Crime,Safety
Venezuela,85.2,14.8
Honduras,80.1,19.9
Papua New Guinea,78.3,21.7
South Africa,77.9,22.1
Afghanistan,77.2,22.8
Nigeria,77.2,22.8
Kenya,73.8,26.2
El Salvador,72.3,27.7
Trinidad And Tobago,72.3,27.7
Maldives,71.8,28.2
Brazil,70.2,29.8
Malaysia,69.3,30.7
Bangladesh,67.9,32.1
Jamaica,67.4,32.6
Puerto Rico,67.3,32.7
Dominican Republic,66.4,33.6
Guatemala,66.2,33.8
Argentina,63.5,36.5
Libya,63.4,36.6
Peru,63.1,36.9
Tanzania,61.9,38.1
Zimbabwe,61.5,38.5
Colombia,59.9,40.1
Bolivia,59.4,40.6
Egypt,59.2,40.8
Pakistan,59.1,40.9
Syria,58.7,41.3
Costa Rica,58.5,41.5
Uganda,58.1,41.9
Algeria,56.6,43.4
Vietnam,56.0,44.0
Mongolia,55.1,44.9
Somalia,53.8,46.2
Mexico,53.0,47.0
Ghana,52.9,47.1
Namibia,52.3,47.7
Iraq,51.8,48.2
Moldova,51.6,48.4
Lebanon,51.2,48.8
Iran,51.2,48.8
Mauritius,50.7,49.3
Uruguay,50.6,49.4
Montenegro,50.6,49.4
Ecuador,50.3,49.7
United States,49.8,50.2
Ukraine,49.6,50.4
Russia,49.3,50.7
Ireland,48.6,51.4
Morocco,48.2,51.8
Panama,47.8,52.2
France,47.6,52.4
Sri Lanka,47.4,52.6
Albania,47.3,52.7
India,46.8,53.2
Italy,46.8,53.2
Cambodia,46.5,53.5
Jordan,46.3,53.7
Indonesia,46.1,53.9
Nepal,45.9,54.1
Serbia,45.2,54.8
Turkmenistan,45.1,54.9
Kazakhstan,44.6,55.4
Bosnia And Herzegovina,44.1,55.9
Chile,43.5,56.5
Australia,43.4,56.6
Hungary,43.3,56.7
Sweden,43.0,57.0
United Kingdom,42.9,57.1
Belgium,42.6,57.4
Lithuania,42.5,57.5
Bulgaria,42.0,58.0
Brunei,41.1,58.9
Tunisia,40.9,59.1
China,40.3,59.7
Thailand,39.7,60.3
Greece,39.4,60.6
Latvia,39.2,60.8
Canada,38.7,61.3
Bahrain,38.3,61.7
North Macedonia,38.2,61.8
Ethiopia,38.1,61.9
New Zealand,38.0,62.0
Turkey,37.2,62.8
Kuwait,37.0,63.0
Philippines,36.9,63.1
Luxembourg,36.8,63.2
Portugal,36.3,63.7
Iceland,33.9,66.1
Nicaragua,33.6,66.4
Netherlands,33.3,66.7
Azerbaijan,33.3,66.7
Slovakia,32.8,67.2
Spain,32.4,67.6
Poland,32.3,67.7
Czech Republic,32.3,67.7
Israel,32.1,67.9
Cyprus,31.8,68.2
Oman,31.5,68.5
Germany,30.6,69.4
Norway,30.4,69.6
Saudi Arabia,30.3,69.7
Romania,30.0,70.0
Croatia,29.0,71.0
Belarus,28.2,71.8
Armenia,27.9,72.1
Slovenia,27.0,73.0
Finland,26.6,73.4
Austria,26.3,73.7
Switzerland,26.2,73.8
Estonia,26.2,73.8
Malta,25.6,74.4
Denmark,25.0,75.0
United Arab Emirates,23.3,76.7
Georgia,22.7,77.3
Hong Kong,21.9,78.1
Taiwan,21.2,78.8
Japan,20.8,79.2
Qatar,20.0,80.0
Singapore,17.1,82.9
South Korea,16.9,83.1
