Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Bermuda,133.7,120.1,127.2,131.9,121.3,118.5
Switzerland,123.1,55.1,90.4,123.9,119.1,178.7
Bahamas,107.5,38.2,74.2,107.1,88.4,59.0
Norway,99.8,37.0,69.6,93.3,110.8,125.8
Iceland,96.5,35.4,67.1,91.4,98.8,94.0
Denmark,84.9,30.8,58.9,69.2,97.9,142.1
Singapore,83.7,73.9,79.0,75.8,53.8,110.5
Luxembourg,82.0,48.9,66.1,69.2,90.3,154.4
Kuwait,81.6,38.3,60.8,96.1,46.0,113.6
Hong Kong,81.5,82.6,82.0,88.8,50.7,102.3
Japan,81.3,29.8,56.5,86.9,47.4,117.6
United Kingdom,81.0,36.3,59.5,68.5,86.7,120.0
Australia,78.5,41.0,60.4,74.7,74.8,147.3
New Zealand,78.2,29.7,54.9,72.1,75.4,115.5
Ireland,78.0,37.9,58.7,66.6,82.3,125.7
Israel,75.7,26.8,52.2,65.7,77.3,115.5
Sweden,75.7,25.2,51.4,67.9,79.2,128.2
Belgium,75.4,31.4,54.3,67.2,82.9,106.7
France,75.3,26.2,51.7,69.6,73.5,118.5
Finland,75.2,27.0,52.1,66.6,76.8,132.9
United States,74.1,38.4,56.9,75.7,69.1,139.2
South Korea,73.2,34.4,54.5,86.2,41.2,120.6
Netherlands,72.1,31.8,52.7,56.1,80.7,129.3
Qatar,70.0,74.5,72.2,59.5,69.3,141.9
Italy,68.8,21.5,46.0,58.6,75.3,105.7
Puerto Rico,66.7,19.7,44.1,65.9,58.7,108.3
Austria,66.6,26.2,47.2,61.7,62.6,120.5
United Arab Emirates,66.1,68.3,67.1,57.2,59.8,136.4
Germany,65.5,24.0,45.6,53.1,60.7,147.6
Canada,64.8,26.8,46.6,65.0,60.0,134.8
Argentina,64.1,18.1,42.0,52.5,64.2,74.9
Macao,64.1,43.5,54.2,55.8,46.4,99.4
Ghana,63.4,53.3,58.6,59.3,51.9,18.4
Lebanon,63.1,35.1,49.6,48.8,59.7,66.6
Malta,61.4,20.2,41.6,51.9,66.6,82.8
Venezuela,60.0,11.5,36.7,73.7,47.1,14.3
Belize,59.4,11.9,36.6,51.2,38.1,146.3
Costa Rica,57.8,16.1,37.8,56.9,46.5,67.6
Cyprus,57.0,13.1,35.9,48.0,59.7,93.8
Spain,56.1,18.9,38.2,46.0,57.0,105.3
Taiwan,55.8,14.7,36.1,64.6,25.1,106.4
Jamaica,55.7,12.6,35.0,54.1,38.7,48.8
Trinidad And Tobago,55.7,22.4,39.7,53.8,48.6,68.2
Uruguay,55.6,15.8,36.5,48.1,52.8,50.6
Zimbabwe,54.5,14.6,35.3,46.0,45.4,36.4
Greece,54.4,9.5,32.8,44.7,55.1,79.3
Oman,53.1,24.7,39.5,47.1,43.9,148.2
Jordan,53.1,12.0,33.4,43.8,52.4,50.9
Palestine,52.9,9.2,31.9,49.8,38.0,53.5
Panama,52.6,30.5,42.0,55.3,40.4,48.1
Slovenia,52.2,14.7,34.2,42.8,42.8,89.8
Brunei,51.9,20.2,36.7,50.6,33.0,94.3
Myanmar,51.6,20.2,36.5,49.6,28.4,33.3
Dominican Republic,51.4,12.1,32.5,48.0,39.3,36.4
Iraq,50.6,17.4,34.6,42.1,45.9,57.2
Portugal,49.8,15.3,33.2,40.6,41.6,75.5
Tanzania,49.5,25.7,38.1,42.8,35.7,53.9
Estonia,48.9,13.5,31.9,38.5,44.1,77.4
Croatia,48.2,9.7,29.7,40.7,37.6,67.9
Bahrain,48.2,33.7,41.2,44.1,48.6,101.0
China,48.1,23.2,36.1,53.3,29.3,77.4
Mauritius,47.9,15.1,32.1,44.1,37.2,71.9
Honduras,47.8,9.6,29.5,44.3,33.5,70.7
Saudi Arabia,47.6,13.8,31.3,41.8,30.0,167.9
Cambodia,47.3,12.4,30.5,52.2,22.6,16.4
Nigeria,47.2,22.9,35.5,42.7,35.8,48.9
Latvia,47.1,12.7,30.6,36.3,40.4,61.5
Lithuania,45.6,12.4,29.6,37.3,35.4,61.3
Zambia,45.5,21.3,33.9,34.0,31.6,142.2
Turkey,45.1,10.5,28.4,39.9,31.9,64.1
Slovakia,45.0,15.0,30.6,40.6,31.8,68.8
Uzbekistan,44.7,12.6,29.2,40.8,29.4,31.1
Ecuador,44.3,12.1,28.8,43.4,27.9,47.6
Ethiopia,44.3,21.3,33.2,38.4,24.3,20.7
Guatemala,44.1,11.4,28.4,41.8,33.0,51.6
Chile,43.9,13.1,29.1,38.5,36.2,78.4
Fiji,43.8,15.5,30.2,49.5,34.1,42.4
El Salvador,42.6,9.8,26.8,38.4,28.8,43.2
