Country,Cost_of_Living,Rent,Cost_Plus_Rent,Groceries,Restaurant_Price,Local_Purchasing_Power
Bermuda,147.8,85.7,117.5,146.6,152.5,78.2
Switzerland,125.7,51.2,89.4,124.9,118.6,114.8
Norway,96.8,32.6,65.5,89.6,96.8,83.4
Iceland,90.2,38.5,65.0,80.9,97.2,74.8
Japan,86.2,26.2,57.0,86.8,48.1,78.9
Denmark,85.0,33.1,59.7,65.8,95.7,101.3
Luxembourg,84.4,55.1,70.1,74.0,86.3,99.9
Bahamas,84.2,37.0,61.3,64.9,83.3,53.1
Israel,82.5,30.0,56.9,68.6,86.3,73.9
Singapore,81.1,61.3,71.5,69.2,58.0,82.6
Barbados,79.9,20.2,50.8,67.5,68.3,49.2
Ireland,78.1,41.6,60.3,61.6,76.6,74.6
Hong Kong,77.9,75.3,76.6,77.5,54.7,67.0
France,76.3,25.8,51.8,72.3,69.1,76.2
South Korea,75.9,21.9,49.6,91.3,40.5,81.7
Australia,75.9,34.2,55.6,70.6,68.9,103.4
Netherlands,74.6,35.6,55.6,57.8,76.1,86.8
Seychelles,74.4,30.1,52.8,74.4,75.5,19.8
Belgium,73.6,24.4,49.6,61.7,75.6,80.1
Finland,72.7,25.9,49.9,59.6,77.7,93.9
United States,72.5,40.1,56.7,69.7,68.3,108.3
Sweden,72.3,25.9,49.7,63.6,71.0,94.0
New Zealand,71.8,31.7,52.3,66.3,63.0,87.2
Austria,71.8,26.3,49.6,63.6,66.2,79.4
Macao,70.2,42.5,56.7,67.3,48.9,73.0
Puerto Rico,70.0,18.9,45.1,71.5,57.7,71.2
Malta,69.3,30.4,50.3,58.0,71.8,44.6
Italy,69.0,21.4,45.8,58.3,68.8,61.8
Qatar,67.5,46.0,57.1,59.2,63.9,99.8
Germany,66.3,27.0,47.2,50.3,60.5,97.4
Canada,66.2,29.3,48.2,63.4,59.6,83.2
Libya,66.1,14.9,41.1,76.2,37.6,38.4
United Kingdom,65.7,28.3,47.5,51.1,68.4,87.0
