Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Iceland,6.8,5.3,5.8,18.8,17.3,54.8,1.8
Cyprus,6.8,8.0,8.9,12.5,11.2,43.4,2.3
Belgium,6.6,4.7,4.7,21.1,21.1,39.1,2.6
Denmark,6.3,4.6,4.8,21.9,21.0,36.9,2.7
Myanmar,6.1,16.1,42.2,6.2,2.4,82.2,1.2
Bahrain,5.7,10.1,9.7,9.9,10.3,50.7,2.0
Australia,5.6,5.1,5.4,19.6,18.6,37.6,2.7
Palestine,5.3,7.3,8.4,13.7,11.9,49.6,2.0
Oman,4.6,6.9,6.9,14.6,14.6,35.9,2.8
United States,4.6,7.8,11.9,12.8,8.4,37.4,2.7
Puerto Rico,4.2,10.2,8.1,9.9,12.4,32.6,3.1
South Africa,3.3,10.4,12.0,9.6,8.3,33.6,3.0
United Arab Emirates,2.9,12.6,11.2,7.9,8.9,20.5,4.9
Saudi Arabia,2.9,6.9,7.1,14.6,14.1,21.2,4.7
