Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Venezuela,202.1,3.5,3.2,28.5,31.4,4469.1,0.0
Syria,37.8,3.9,5.3,26.0,18.7,374.3,0.3
Hong Kong,36.1,2.3,2.2,44.3,44.8,224.9,0.4
Vietnam,26.8,4.5,7.0,22.1,14.2,285.6,0.4
Thailand,24.4,3.8,3.5,26.3,28.3,212.0,0.5
Cambodia,24.3,7.4,6.2,13.4,16.0,292.4,0.3
China,23.3,2.2,2.7,44.8,36.5,189.7,0.5
Ukraine,22.9,5.3,6.0,18.9,16.6,512.1,0.2
Algeria,21.8,2.7,3.0,37.6,33.8,177.7,0.6
Singapore,21.6,2.7,3.7,36.4,27.4,134.3,0.7
Indonesia,21.0,4.7,4.9,21.4,20.3,247.7,0.4
Azerbaijan,20.3,5.5,5.5,18.3,18.2,232.9,0.4
Uruguay,19.7,4.5,4.1,22.4,24.6,202.2,0.5
Colombia,19.4,4.3,4.3,23.5,23.3,283.6,0.4
Belarus,18.7,5.3,4.8,18.8,20.8,587.5,0.2
Serbia,17.9,3.1,3.3,31.9,30.1,142.6,0.7
Sri Lanka,17.5,4.9,4.5,20.4,22.4,238.6,0.4
Brazil,17.0,4.0,4.0,24.9,24.9,224.6,0.4
Philippines,16.9,3.7,3.5,26.7,28.3,162.9,0.6
Peru,16.5,6.2,5.5,16.0,18.3,204.6,0.5
Mongolia,15.8,9.8,13.4,10.2,7.5,203.5,0.5
Moldova,15.5,6.1,6.6,16.5,15.2,227.9,0.4
Montenegro,15.3,3.5,3.7,28.4,27.1,165.1,0.6
North Macedonia,14.7,3.7,3.6,26.9,28.0,132.8,0.8
Albania,14.4,4.0,5.0,25.2,20.0,138.0,0.7
Morocco,14.4,5.0,5.0,20.0,20.0,119.4,0.8
Armenia,14.3,6.3,5.2,15.9,19.2,213.1,0.5
Lithuania,14.2,3.9,4.1,25.6,24.2,89.2,1.1
Switzerland,14.0,3.0,3.1,33.2,31.8,81.9,1.2
Lebanon,13.9,5.4,6.3,18.7,15.9,126.7,0.8
