Country,Price_to_Income,Gross_Rental_Ce,Gross_Rental_Out,Price_Ratio_Ce,Price_Ratio_Out,Mortgage_As_Percentage,Affordability
Venezuela,154.7,4.1,4.0,24.6,24.8,3294.7,0.0
Hong Kong,46.9,1.9,1.9,52.8,51.8,293.6,0.3
China,27.2,1.8,2.1,54.1,47.5,215.6,0.5
Sri Lanka,26.0,3.7,3.0,27.0,32.9,386.7,0.3
Nepal,25.6,2.1,2.5,47.2,39.3,327.1,0.3
Algeria,22.6,2.5,2.7,40.5,36.4,191.5,0.5
Thailand,21.5,3.6,3.6,27.8,27.5,180.9,0.6
Singapore,21.2,2.6,3.2,39.2,31.1,130.1,0.8
Vietnam,20.1,4.3,6.1,23.3,16.3,212.9,0.5
Philippines,19.4,3.8,3.8,26.1,26.4,187.0,0.5
Colombia,18.7,4.3,4.4,23.1,22.8,246.9,0.4
Serbia,18.1,3.1,3.3,32.1,30.1,131.4,0.8
Brazil,17.9,4.0,4.1,25.0,24.5,228.9,0.4
Taiwan,17.5,1.4,1.8,69.8,54.7,106.0,0.9
Peru,16.6,4.8,6.0,21.0,16.8,189.6,0.5
Azerbaijan,16.1,5.5,5.7,18.0,17.6,174.3,0.6
Ukraine,15.3,6.4,7.1,15.6,14.1,320.6,0.3
South Korea,15.3,1.7,1.8,57.6,55.4,106.4,0.9
Uruguay,15.2,4.6,4.4,21.7,22.8,162.0,0.6
Belarus,14.9,5.0,4.6,20.1,22.0,237.2,0.4
Albania,14.5,4.2,5.1,23.9,19.7,125.3,0.8
Czech Republic,13.9,3.6,3.9,27.8,25.5,85.6,1.2
Moldova,13.9,5.6,6.5,17.8,15.3,189.5,0.5
Indonesia,13.8,5.1,5.0,19.6,19.9,144.4,0.7
North Macedonia,13.8,4.0,4.0,24.9,25.2,123.7,0.8
Morocco,13.8,4.8,4.9,20.8,20.4,114.9,0.9
Chile,13.6,4.4,4.3,22.8,23.0,100.5,1.0
Pakistan,13.6,4.2,4.2,24.0,23.9,175.1,0.6
Ecuador,13.6,5.3,5.0,19.0,19.9,166.3,0.6
Tunisia,13.4,4.4,5.0,22.6,20.2,120.1,0.8
Egypt,13.3,6.1,6.2,16.4,16.2,209.5,0.5
Iran,13.2,6.7,8.1,14.9,12.4,260.0,0.4
Armenia,13.2,6.9,6.5,14.5,15.4,181.3,0.6
Argentina,13.1,3.5,3.8,28.7,26.5,346.2,0.3
Lebanon,13.1,5.1,6.5,19.6,15.4,111.3,0.9
Hungary,13.0,4.3,5.2,23.5,19.4,106.3,0.9
Dominican Republic,12.8,6.4,6.1,15.7,16.4,181.7,0.6
Israel,12.6,2.9,3.5,34.0,29.0,87.2,1.1
Panama,12.4,8.5,8.3,11.7,12.1,99.1,1.0
Kazakhstan,12.3,6.9,6.5,14.5,15.3,222.3,0.4
Kosovo (Disputed Territory),12.1,3.7,4.7,27.3,21.2,104.1,1.0
Bosnia And Herzegovina,12.0,3.3,3.2,30.1,30.8,102.9,1.0
Georgia,12.0,6.9,7.1,14.5,14.1,148.0,0.7
Lithuania,11.9,4.3,4.4,23.4,22.8,72.8,1.4
Luxembourg,11.9,4.1,4.2,24.5,23.6,71.6,1.4
Bangladesh,11.7,3.6,3.8,27.5,26.0,145.5,0.7
Japan,11.7,2.3,3.0,43.2,33.6,65.9,1.5
Portugal,11.6,5.2,6.3,19.1,15.9,75.3,1.3
France,11.5,2.8,3.4,35.6,29.3,69.2,1.4
Russia,11.4,6.3,6.3,15.8,15.9,145.7,0.7
Croatia,11.3,3.4,3.6,29.1,27.6,90.0,1.1
India,10.8,2.9,3.7,34.3,27.0,122.0,0.8
Switzerland,10.6,2.7,3.1,37.1,32.5,61.2,1.6
Bolivia,10.3,6.5,6.9,15.4,14.5,95.2,1.1
Malta,10.1,6.1,6.9,16.3,14.6,71.3,1.4
Latvia,10.1,4.6,5.2,21.9,19.3,64.7,1.5
Poland,10.0,5.0,5.3,20.2,18.7,71.7,1.4
Slovakia,10.0,5.6,5.6,17.8,17.8,60.3,1.7
Romania,9.9,4.7,4.8,21.1,21.0,68.4,1.5
Austria,9.8,3.4,3.7,29.2,27.0,59.6,1.7
Mexico,9.7,5.8,5.9,17.2,17.0,121.8,0.8
Greece,9.7,4.2,4.3,24.1,23.3,74.6,1.3
Italy,9.6,3.5,4.4,28.5,23.0,60.6,1.7
Sweden,9.6,3.0,3.5,33.6,28.4,61.4,1.6
Turkey,9.5,4.8,5.7,20.7,17.5,138.8,0.7
Slovenia,9.4,3.8,3.9,26.3,25.4,64.9,1.5
Malaysia,9.3,4.0,4.4,25.1,22.9,71.3,1.4
Estonia,9.2,4.4,4.6,22.9,21.8,58.6,1.7
United Kingdom,8.9,4.1,4.6,24.6,21.7,60.5,1.7
Iraq,8.9,6.5,8.0,15.4,12.5,116.1,0.9
Bulgaria,8.8,5.5,5.7,18.2,17.4,65.9,1.5
Costa Rica,8.7,7.2,7.1,13.9,14.1,97.7,1.0
Spain,8.6,4.6,5.5,21.8,18.1,53.8,1.9
Germany,8.5,3.5,3.9,28.8,26.0,50.9,2.0
New Zealand,8.2,4.9,4.9,20.4,20.3,64.6,1.5
Norway,8.2,4.0,4.5,25.0,22.3,52.6,1.9
Ireland,8.1,6.2,7.5,16.1,13.3,58.1,1.7
Finland,7.4,3.8,4.6,26.7,21.6,42.8,2.3
Netherlands,7.3,5.1,5.8,19.4,17.3,46.5,2.1
Australia,7.3,4.9,5.1,20.6,19.6,54.9,1.8
Belgium,7.2,5.0,5.0,19.9,20.0,44.5,2.2
Denmark,7.1,4.3,4.8,23.1,21.0,43.3,2.3
Canada,6.9,5.0,5.9,20.2,17.0,46.8,2.1
Jordan,6.8,6.9,8.0,14.5,12.5,67.0,1.5
Iceland,6.6,7.0,7.5,14.4,13.4,58.9,1.7
Cyprus,6.3,5.9,6.2,16.9,16.1,46.4,2.2
Palestine,5.3,5.4,6.4,18.5,15.5,51.7,1.9
South Africa,3.9,9.8,10.8,10.2,9.3,47.1,2.1
United Arab Emirates,3.9,11.8,10.7,8.5,9.3,28.2,3.5
United States,3.4,10.7,11.4,9.3,8.8,25.6,3.9
Saudi Arabia,2.7,7.4,7.7,13.5,13.1,19.4,5.2
